teamAbbr,teamRslt,opptAbbr,Season,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFG%,team2PA,team2P%,team3PA,team3P%,teamFTA,teamFT%,teamORB,teamDRB,teamTREB%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLKR,teamPPS,teamFIC,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFG%,oppt2PA,oppt2P%,oppt3PA,oppt3P%,opptFTA,opptFT%,opptORB,opptDRB,opptTREB%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLKR,opptPPS,opptFIC,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO
26,Win,1,4,1.6,99.8,21.2,17.6,6.4,5.4,18.4,80.4,0.43924,52.6,0.5158400000000001,27.8,0.30166000000000004,29.4,0.7013599999999999,8.0,39.6,51.158799999999985,0.5361600000000001,0.49218,17.672180000000004,81.32204000000002,15.894980000000007,6.29274,10.35414,1.2473599999999998,72.375,98.78941999999998,104.09073999999998,-5.301319999999999,0.39048000000000005,16.00603999999999,1.3228400000000007,43.47012000000001,1.8,111.6,24.0,14.2,8.4,3.0,19.4,83.8,0.44478,47.2,0.5095800000000003,36.6,0.3766000000000001,29.4,0.8134999999999998,8.0,34.8,47.46795999999999,0.57724,0.5247399999999999,18.93676000000001,81.06324000000002,12.639280000000003,8.25916,6.4149799999999955,1.3349600000000001,83.325,111.00497999999997,105.48153999999997,5.523440000000003,0.41392000000000007,17.8009,1.9013599999999997,61.19697999999998
4,Win,5,4,1.8,102.0,25.0,14.6,5.8,4.2,21.0,83.6,0.45253999999999994,64.2,0.47386,19.4,0.3747600000000001,22.4,0.8534399999999998,10.6,32.4,50.855499999999985,0.5480600000000002,0.4979,24.585460000000005,76.51875999999999,13.575480000000004,5.9724400000000015,6.265400000000003,1.2285599999999997,75.7,107.41965999999998,110.38673999999999,-2.96708,0.43086000000000013,18.806180000000005,1.8203600000000004,37.95128,2.6,126.6,27.2,13.0,9.0,3.4,21.0,90.6,0.46388000000000007,47.6,0.5296800000000002,43.0,0.3995,34.6,0.7355399999999997,12.2,31.2,46.67493999999998,0.5978200000000001,0.5577,28.972439999999995,71.02756000000002,10.837660000000003,8.632279999999998,7.8222999999999985,1.4002200000000005,97.375,122.23432000000003,110.55195999999998,11.682359999999997,0.46004000000000006,18.560820000000003,2.26308,73.72626000000001
14,Loss,2,4,3.0,109.6,22.2,15.0,6.0,5.6,23.2,89.2,0.4617999999999999,59.0,0.5157199999999998,30.2,0.35455999999999976,20.8,0.7993999999999999,13.0,35.6,54.24273999999997,0.5584200000000001,0.5231,30.038300000000003,77.1694,13.211299999999998,6.210799999999999,9.676140000000002,1.23454,81.8,114.47901999999995,104.84835999999996,9.63066,0.45157999999999987,16.2711,1.5776200000000002,41.73352000000001,1.2,106.2,22.8,12.6,9.4,3.6,19.8,81.6,0.48190000000000016,54.4,0.5191,27.2,0.39182,20.8,0.7894199999999997,6.2,33.6,46.91024000000002,0.58498,0.5494400000000003,14.615100000000002,85.38490000000002,12.133979999999994,9.817879999999997,6.8586,1.30568,81.9,111.67174,103.68838000000005,7.983359999999999,0.44715999999999967,17.893839999999997,1.8809400000000007,76.42857999999998
25,Win,6,4,1.8,111.8,24.6,14.6,8.4,3.8,20.0,89.4,0.4904800000000001,69.6,0.5355200000000001,19.8,0.33196000000000003,21.8,0.8036000000000003,12.6,32.0,50.10168,0.5641400000000003,0.5272200000000001,29.585220000000003,69.7489,12.564859999999998,8.454760000000002,5.44732,1.2527999999999997,85.375,112.62030000000001,119.46913999999997,-6.848839999999998,0.4795200000000001,17.779100000000007,1.9000399999999988,71.41392,2.8,104.4,23.6,16.0,8.8,3.6,19.6,81.8,0.46776,55.0,0.48533999999999977,26.8,0.42954,19.4,0.8367199999999999,7.6,35.0,51.18204000000005,0.5767200000000001,0.5381400000000001,17.800839999999987,82.19916,15.022560000000007,9.025579999999996,6.809759999999995,1.2751999999999994,79.825,108.12274,103.35816,4.76458,0.4243000000000001,18.091579999999997,1.5014200000000002,54.33334000000001
8,Loss,0,4,1.4,117.4,27.4,13.0,12.0,7.2,19.2,86.4,0.47750000000000015,52.6,0.5613199999999999,33.8,0.3343399999999999,29.8,0.8077000000000003,8.4,29.0,44.77801999999999,0.59046,0.5445999999999998,19.791619999999995,69.81572000000003,11.50018,11.820760000000002,14.96502000000001,1.36598,95.575,115.40207999999998,112.01116000000002,3.3909199999999986,0.45444000000000023,19.563560000000006,2.22618,97.77778000000004,1.8,112.8,25.2,14.8,9.4,5.0,21.6,86.0,0.48588000000000003,59.6,0.52214,26.4,0.41276,23.8,0.8010999999999996,8.8,31.6,46.60284,0.5860800000000002,0.5484399999999998,21.691160000000014,78.30884000000002,13.412860000000009,9.409739999999998,8.861460000000001,1.3205400000000005,85.875,112.18878,106.81111999999993,5.377659999999999,0.45230000000000015,18.37366,1.8331000000000004,69.74168
16,Loss,17,4,2.6,103.8,16.4,15.2,7.0,4.2,24.0,82.4,0.44899999999999984,58.8,0.46522000000000024,23.6,0.4122800000000001,25.4,0.7991400000000002,11.0,33.8,51.75470000000003,0.5539999999999999,0.50716,24.948640000000008,79.70021999999999,13.944360000000003,7.28168,7.0804399999999985,1.2603799999999998,69.225,108.12589999999996,113.48567999999996,-5.359780000000006,0.42791999999999997,13.062420000000003,1.1130200000000008,46.728100000000026,3.0,104.6,24.0,13.2,6.8,3.8,17.2,92.0,0.44533999999999985,67.4,0.48063999999999985,24.6,0.32261999999999974,21.2,0.7200399999999998,10.6,38.6,51.16133999999999,0.5155800000000001,0.4909799999999998,21.641920000000006,78.35808000000002,11.572879999999994,6.608200000000002,5.7894000000000005,1.1406800000000001,80.0,102.55792,99.88758000000004,2.6703399999999933,0.4324199999999999,17.087179999999996,1.9699200000000006,53.85619999999999
3,Win,13,4,2.6,108.6,24.6,14.8,7.8,3.2,18.0,94.4,0.45187999999999995,59.6,0.5028800000000001,34.8,0.36945999999999996,15.4,0.6793800000000005,15.8,28.6,51.46988,0.5378399999999999,0.51858,32.508140000000004,75.76426000000001,12.78638,7.999779999999999,5.40698,1.1506599999999998,81.075,111.74255999999991,123.73973999999998,-11.997179999999998,0.45621999999999996,17.482840000000003,1.7900000000000005,57.03031999999998,3.0,109.2,24.8,13.8,8.0,5.8,16.0,85.8,0.45888,66.8,0.4824600000000002,19.0,0.38310000000000005,28.2,0.83112,10.4,34.8,54.08892000000001,0.5549800000000001,0.50018,22.71642000000002,77.28358,12.407060000000001,7.826119999999999,8.803619999999997,1.2747200000000003,87.575,110.46333999999999,106.59401999999997,3.8693199999999996,0.44106000000000006,18.004100000000005,2.0238200000000006,59.745100000000015
24,Loss,9,4,2.4,103.2,22.4,18.2,9.4,5.8,24.6,90.0,0.4331599999999998,68.0,0.48190000000000016,22.0,0.29132,25.2,0.7440400000000004,11.8,32.6,50.200540000000004,0.5108799999999997,0.46743999999999997,25.83066,75.61306000000002,15.30498,9.267299999999997,8.589320000000004,1.1457199999999996,69.6,99.83932000000003,112.65224,-12.812920000000002,0.40270000000000017,15.710819999999993,1.22986,52.02070000000003,2.2,99.6,20.4,15.8,6.2,6.6,21.2,81.4,0.42086000000000007,56.6,0.44905999999999996,24.8,0.3552600000000001,29.2,0.7870999999999999,13.2,33.0,52.68979999999999,0.5313200000000002,0.4751399999999997,28.442099999999993,71.55790000000003,14.250899999999996,6.604240000000002,11.764619999999999,1.23478,72.35,106.04145999999999,102.15261999999998,3.888840000000002,0.4062999999999999,15.63688,1.3589600000000002,40.74468000000002
15,Loss,11,4,2.6,112.6,24.6,16.4,8.6,5.6,22.6,80.0,0.5165200000000001,53.2,0.5663199999999999,26.8,0.4152999999999999,23.6,0.7837000000000002,10.6,35.2,57.87696000000002,0.6227599999999998,0.5861000000000002,29.044840000000004,82.93783999999997,15.185240000000002,9.11816,10.828879999999995,1.40976,91.85,119.61862000000004,103.21716,16.401459999999997,0.48512000000000005,18.715439999999997,1.8207799999999998,62.319040000000015,3.2,115.2,22.0,15.0,8.0,4.8,20.4,92.4,0.4700800000000001,68.6,0.5114400000000001,23.8,0.35407999999999995,26.8,0.7438800000000004,14.2,36.6,56.02912,0.55352,0.5156400000000001,28.031560000000002,71.96844000000002,12.579579999999998,7.876020000000001,7.1262399999999975,1.2559600000000004,87.1,113.88198000000003,108.11895999999999,5.763020000000001,0.46595999999999976,15.50566000000001,1.49434,55.06288000000001
21,Win,10,4,2.8,102.2,20.4,12.6,6.4,4.0,19.6,83.0,0.42718000000000006,47.2,0.4749,35.8,0.35753999999999986,20.2,0.9056200000000002,6.2,38.8,48.20748000000002,0.5560399999999996,0.50674,14.124480000000009,78.60336000000002,12.159739999999996,6.770839999999997,8.417039999999997,1.2329199999999998,76.075,104.79590000000003,105.85932000000005,-1.0634199999999994,0.39602000000000015,16.337759999999996,1.7810600000000008,55.931820000000016,3.0,108.6,23.6,17.4,10.2,4.8,19.2,90.8,0.47043999999999997,62.8,0.50126,28.0,0.3968799999999999,16.8,0.7222200000000005,14.4,30.4,50.774940000000015,0.55396,0.5326799999999998,32.22186000000001,67.77814,15.163479999999998,10.39098,7.66464,1.1986200000000002,83.0,110.71692,113.20674000000001,-2.4898199999999995,0.4536999999999999,16.862299999999998,1.4522399999999998,60.35244
