Date,VH,Team,Final,ML
1017,V,BOS,99,166
1017,H,CLE,102,-195
1017,V,HOU,122,364
1017,H,GS,121,-470
1018,V,BKN,131,135
1018,H,IND,140,-155
1018,V,PHI,115,240
1018,H,WAS,120,-300
1018,V,MIA,109,-170
1018,H,ORL,116,145
1018,V,CHA,90,125
1018,H,DET,102,-145
1018,V,MIL,108,105
1018,H,BOS,100,-125
1018,V,NO,91,110
1018,H,MEM,103,-130
1018,V,ATL,117,190
1018,H,DAL,111,-240
1018,V,DEN,96,120
1018,H,UTA,106,-140
1018,V,MIN,99,105
1018,H,SA,107,-125
1018,V,HOU,105,-310
1018,H,SAC,100,250
1018,V,POR,124,-140
1018,H,PHO,76,120
1019,V,CHI,101,800
1019,H,TOR,117,-1400
1019,V,NY,84,650
1019,H,OKC,105,-1000
1019,V,LAC,108,-260
1019,H,LAL,92,210
1020,V,BOS,102,130
1020,H,PHI,92,-150
1020,V,ATL,91,160
1020,H,CHA,109,-190
1020,V,DET,111,230
1020,H,WAS,115,-280
1020,V,CLE,116,-105
1020,H,MIL,97,-115
1020,V,POR,114,-230
1020,H,IND,96,185
1020,V,ORL,121,110
1020,H,BKN,126,-130
1020,V,UTA,97,170
1020,H,MIN,100,-200
1020,V,SAC,93,200
1020,H,DAL,88,-250
1020,V,GS,128,-470
1020,H,NO,120,360
1020,V,LAL,132,140
1020,H,PHO,130,-160
1021,V,PHI,94,292
1021,H,TOR,128,-365
1021,V,ORL,114,588
1021,H,CLE,93,-850
1021,V,DAL,91,588
1021,H,HOU,107,-850
1021,V,DET,111,-115
1021,H,NY,107,-105
1021,V,IND,108,334
1021,H,MIA,112,-425
1021,V,SA,87,-600
1021,H,CHI,77,447
1021,V,GS,101,-375
1021,H,MEM,111,299
1021,V,POR,110,130
1021,H,MIL,113,-150
1021,V,SAC,79,588
1021,H,DEN,96,-850
1021,V,OKC,87,-180
1021,H,UTA,96,155
1021,V,PHO,88,857
1021,H,LAC,130,-1450
1022,V,ATL,104,-105
1022,H,BKN,116,-115
1022,V,MIN,115,150
1022,H,OKC,113,-180
1022,V,NO,119,-210
1022,H,LAL,112,175
1023,V,PHI,97,140
1023,H,DET,86,-160
1023,V,ATL,93,500
1023,H,MIA,104,-700
1023,V,MEM,98,280
1023,H,HOU,90,-360
1023,V,CHA,94,210
1023,H,MIL,103,-260
1023,V,GS,133,-1400
1023,H,DAL,103,800
1023,V,TOR,97,125
1023,H,SA,101,-145
1023,V,WAS,109,170
1023,H,DEN,104,-200
1023,V,SAC,115,-140
1023,H,PHO,117,120
1024,V,BKN,121,170
1024,H,ORL,125,-200
1024,V,CHI,112,1100
1024,H,CLE,119,-2500
1024,V,NY,89,240
1024,H,BOS,110,-300
1024,V,IND,130,500
1024,H,MIN,107,-700
1024,V,NO,93,170
1024,H,POR,103,-200
1024,V,UTA,84,170
1024,H,LAC,102,-200
1025,V,MIN,101,120
1025,H,DET,122,-140
1025,V,HOU,105,-160
