teamAbbr,opptAbbr,teamRslt,gmDate,Season,teamDayOff,opptDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFG%,team2PA,team2P%,team3PA,team3P%,teamFTA,teamFT%,teamORB,teamDRB,teamTREB%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLKR,teamPPS,teamFIC,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFG%,oppt2PA,oppt2P%,oppt3PA,oppt3P%,opptFTA,opptFT%,opptORB,opptDRB,opptTREB%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLKR,opptPPS,opptFIC,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,V ML,H ML,V Score,H Score,Num Games Avg
15,14,Loss,2015-11-12,3,2,2,98.6,20.4,12.8,8.8,4.4,26.4,83.6,0.44841999999999993,66.4,0.45776000000000006,17.2,0.40359999999999996,21.8,0.74814,11.4,31.8,52.37149999999999,0.52906,0.491,27.34766,77.59866,12.026739999999998,9.57912,6.509780000000001,1.18138,70.575,107.88510000000001,96.35636000000001,11.528739999999999,0.43996,15.970859999999998,1.69466,71.61988,100.4,20.2,14.0,8.2,7.2,18.8,82.4,0.45952000000000004,60.4,0.49632,22.0,0.3675400000000001,22.0,0.7725000000000001,10.8,35.8,53.75732000000001,0.54724,0.50778,22.664700000000003,77.3353,13.16286,8.67102,12.03462,1.22418,80.2,106.86525999999999,94.58887999999999,12.27638,0.44189999999999996,15.9869,1.5213,59.09740000000001,145,-165,91,92,3
29,6,Loss,2015-11-13,3,2,2,89.0,21.0,15.0,6.8,5.4,17.8,83.8,0.4321,68.6,0.46020000000000005,15.2,0.31706,16.4,0.71644,12.2,33.8,51.170579999999994,0.48816,0.46026,26.41442,76.72444,14.207459999999998,7.34436,7.704599999999999,1.0609,66.85,96.37842,107.36484,-10.986419999999999,0.41856,16.47068,1.48384,43.7868,102.57142857142857,23.428571428571427,17.285714285714285,8.857142857142858,3.4285714285714284,20.428571428571427,86.71428571428571,0.4449571428571428,65.57142857142857,0.4662857142857143,21.142857142857142,0.3784428571428572,25.142857142857142,0.693242857142857,11.571428571428571,33.57142857142857,49.95774285714286,0.5238999999999999,0.49078571428571427,25.539028571428577,74.46097142857141,15.139571428571431,8.820442857142856,5.0237428571428575,1.1845428571428571,73.07142857142857,101.48944285714285,105.59601428571428,-4.106571428571427,0.41698571428571435,16.849185714285714,1.3840285714285714,52.59435714285714,225,-275,109,111,3
17,18,Loss,2015-11-14,3,3,2,102.6,17.0,15.2,9.0,3.4,17.2,88.0,0.44552,61.6,0.48602,26.4,0.34824,23.8,0.6602,14.6,33.0,52.6145,0.5212999999999999,0.49748000000000003,29.482940000000003,78.63871999999999,13.43938,9.27634,5.526260000000001,1.1713799999999999,72.625,105.84169999999999,102.98491999999999,2.856779999999999,0.44098,12.92916,1.19972,67.05554,103.8,21.8,13.2,5.4,7.0,20.0,80.2,0.45806,57.0,0.5402799999999999,23.2,0.24694000000000002,32.8,0.7486600000000001,7.4,37.0,47.4598,0.54922,0.49416000000000004,17.01366,82.98634,12.27874,5.491619999999999,12.506620000000002,1.3029800000000002,77.5,105.1591,100.15684000000002,5.002259999999999,0.42634,16.6345,1.82166,45.86750000000001,120,-140,96,101,3
29,8,Loss,2015-11-14,3,1,2,92.33333333333333,21.5,15.0,6.833333333333333,5.166666666666667,18.833333333333332,84.66666666666667,0.43873333333333325,68.5,0.4668333333333334,16.166666666666668,0.3277166666666667,17.166666666666668,0.73195,11.666666666666666,34.0,50.44356666666666,0.4992666666666666,0.4697,25.4211,75.6037,14.047249999999998,7.2687,7.400899999999999,1.0881999999999998,68.64583333333333,98.19754999999999,107.68101666666666,-9.483466666666667,0.4224833333333333,16.64016666666667,1.5031999999999999,44.266783333333336,114.0,31.6,16.4,8.6,7.0,21.2,89.8,0.47298,62.0,0.49589999999999995,27.8,0.4311,22.8,0.76368,13.2,38.2,55.673,0.57162,0.5387,26.10976,73.89023999999999,14.016740000000002,8.53492,11.508640000000002,1.2736,100.15,112.992,93.46506000000001,19.526940000000003,0.45615999999999995,21.322200000000002,1.9762999999999997,52.345240000000004,1660,-2710,99,107,3
20,27,Loss,2015-11-15,3,2,2,93.2,19.4,15.2,7.8,3.0,22.0,85.0,0.4165,58.8,0.44202,26.2,0.35502,18.6,0.7055400000000001,7.6,30.8,44.443400000000004,0.50056,0.47164,17.057560000000002,74.60128,13.98684,8.06566,5.037640000000001,1.0971199999999999,57.175,95.85647999999999,110.30042,-14.443940000000001,0.38208000000000003,15.15316,1.33758,53.516740000000006,92.0,19.2,14.6,6.6,4.2,21.0,85.2,0.38712,61.2,0.43658,24.0,0.26958,24.0,0.8179000000000001,13.4,34.2,51.994580000000006,0.48038,0.42510000000000003,28.31104,71.68896,13.097460000000002,6.98638,7.0867,1.0815,63.05,97.86102,104.26664000000001,-6.405620000000001,0.3818,14.80022,1.46444,49.30159999999999,105,-125,87,95,3
15,26,Win,2015-11-15,3,2,2,96.71428571428571,19.857142857142858,13.0,9.714285714285714,5.285714285714286,25.571428571428573,84.85714285714286,0.43069999999999997,66.57142857142857,0.44641428571428576,18.285714285714285,0.36761428571428567,22.428571428571427,0.7485428571428571,11.428571428571429,31.285714285714285,50.960414285714286,0.5113,0.4709,26.324314285714287,77.40564285714287,12.017314285714283,10.38342857142857,7.818042857142857,1.1426285714285715,68.625,104.29795714285716,97.51922857142857,6.77872857142857,0.42225714285714294,15.399942857142857,1.5978714285714286,77.20747142857144,103.16666666666667,27.5,15.0,11.5,5.833333333333333,18.166666666666668,84.16666666666667,0.47318333333333334,57.166666666666664,0.5227333333333334,27.0,0.3676,16.5,0.8285833333333334,7.166666666666667,31.0,45.240633333333335,0.56425,0.5321833333333333,18.59375,81.40625,14.111316666666667,11.8389,10.302233333333332,1.2266333333333335,85.02083333333333,105.92996666666666,102.81861666666667,3.1113499999999994,0.43260000000000004,20.403883333333336,1.8385666666666667,76.67673333333333,135,-155,97,96,3
19,6,Loss,2015-11-15,3,2,2,100.0,17.5,14.833333333333334,8.833333333333334,4.833333333333333,22.0,81.5,0.4223666666666666,62.0,0.4637166666666667,19.5,0.2879,30.333333333333332,0.8327833333333333,11.666666666666666,35.5,53.16631666666667,0.52545,0.4569666666666667,27.14753333333333,77.52251666666668,13.534266666666667,9.1962,7.769066666666667,1.2241333333333335,71.125,104.70721666666668,102.1623,2.544916666666667,0.40853333333333336,13.663000000000002,1.3274833333333333,62.54628333333333,103.625,23.625,16.875,9.125,3.375,19.875,87.625,0.44252499999999995,65.75,0.4621,21.875,0.3820625,25.25,0.7027374999999999,12.0,33.75,50.361962500000004,0.5242125,0.48993749999999997,26.096650000000004,73.90334999999999,14.712300000000003,9.0713625,4.955475000000001,1.1840875,75.0625,102.46099999999998,105.80816249999998,-3.347162499999999,0.418625,16.9065625,1.4342375,55.8414875,-125,105,101,107,3
2,23,Win,2015-11-16,3,2,2,103.4,23.6,11.2,5.2,4.0,22.2,89.4,0.44244000000000006,63.6,0.49498,25.8,0.31572,21.8,0.7671000000000001,9.0,39.4,50.36168,0.5234400000000001,0.4875999999999999,19.06824,79.84416,10.13264,5.224639999999999,6.37256,1.16248,77.225,103.90667999999998,102.40331999999998,1.5033600000000003,0.43112000000000006,17.654,2.1916199999999995,49.807680000000005,91.8,21.6,15.8,5.0,7.2,19.4,83.0,0.40169999999999995,57.8,0.43874,25.2,0.32775999999999994,25.2,0.6439199999999999,10.6,30.0,44.948440000000005,0.48972,0.45198,25.94576,74.05424000000001,14.496439999999998,5.16588,12.7918,1.11598,61.5,95.84657999999999,113.05265999999999,-17.206080000000004,0.37808,16.393060000000002,1.4447199999999998,31.6615,-405,325,92,86,3
10,24,Loss,2015-11-16,3,1,2,97.0,19.5,16.5,7.5,6.5,20.833333333333332,84.16666666666667,0.42193333333333327,58.333333333333336,0.4547833333333333,25.833333333333332,0.3521,23.0,0.7537666666666668,8.666666666666666,34.5,45.870733333333334,0.5161333333333333,0.4755,18.520449999999997,71.21136666666666,14.9046,7.60385,11.372283333333334,1.1587833333333333,66.375,98.72008333333332,105.22985,-6.509766666666667,0.3847833333333333,15.0216,1.2663666666666666,47.191633333333336,106.33333333333333,19.0,19.166666666666668,8.666666666666666,3.5,20.5,85.33333333333333,0.45860000000000006,60.5,0.4839333333333333,24.833333333333332,0.38986666666666664,26.166666666666668,0.6968666666666666,10.5,39.166666666666664,54.50691666666666,0.55115,0.51645,21.250266666666665,78.74973333333334,16.535416666666666,8.471533333333332,5.727266666666666,1.2517833333333332,74.14583333333333,104.01201666666667,95.48418333333335,8.527833333333334,0.41478333333333334,14.019733333333333,0.9843166666666666,44.880950000000006,610,-810,101,120,3
25,14,Win,2015-11-17,3,2,5,105.8,22.2,15.2,6.6,4.4,22.0,82.6,0.47352,66.2,0.50922,16.4,0.3372,28.0,0.8027200000000001,8.6,36.4,51.02112,0.5606199999999999,0.50686,21.0627,76.47995999999999,13.8483,6.59264,6.5583,1.29068,76.25,106.22167999999999,99.71977999999999,6.501900000000001,0.43642000000000003,16.65884,1.6308799999999999,42.72076,99.0,19.166666666666668,14.166666666666666,7.833333333333333,7.833333333333333,19.0,81.5,0.46085000000000004,61.0,0.4969333333333333,20.5,0.35756666666666675,22.5,0.7504166666666667,10.333333333333334,36.333333333333336,53.599266666666665,0.5431499999999999,0.5054,21.724133333333338,78.27586666666667,13.396233333333335,8.28375,12.893433333333334,1.2192833333333333,78.1875,105.27539999999999,94.86876666666666,10.406633333333334,0.43968333333333326,15.316716666666666,1.4233,55.914500000000004,330,-410,103,91,3
