teamAbbr,opptAbbr,teamRslt,gmDate,Season,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFG%,team2PA,team2P%,team3PA,team3P%,teamFTA,teamFT%,teamORB,teamDRB,teamTREB%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLKR,teamPPS,teamFIC,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFG%,oppt2PA,oppt2P%,oppt3PA,oppt3P%,opptFTA,opptFT%,opptORB,opptDRB,opptTREB%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLKR,opptPPS,opptFIC,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,V ML,H ML,V Score,H Score,Num Games Avg
3,8,Loss,2015-11-06,3,1.3333333333333333,106.0,25.333333333333332,16.333333333333332,7.333333333333333,6.666666666666667,22.0,85.33333333333333,0.4642,61.0,0.4889666666666666,24.333333333333332,0.3925666666666667,22.666666666666668,0.7581666666666665,11.333333333333334,33.0,49.436366666666665,0.5585333333333332,0.5216666666666666,26.21173333333333,70.164,14.708800000000002,7.529233333333333,11.515166666666666,1.2506,81.58333333333333,108.26543333333332,106.13143333333333,2.133999999999999,0.4357666666666667,18.432366666666667,1.5922,45.90963333333334,1.3333333333333333,114.0,29.666666666666668,15.333333333333334,6.666666666666667,8.333333333333334,22.0,88.33333333333333,0.46593333333333337,61.333333333333336,0.5062333333333334,27.0,0.3748666666666667,27.666666666666668,0.8055333333333333,13.333333333333334,41.0,57.7189,0.5683333333333334,0.523,24.771066666666666,75.22893333333333,13.116433333333333,6.628399999999999,13.704866666666668,1.2968666666666668,99.79166666666667,113.71960000000001,90.66813333333334,23.05146666666667,0.45446666666666663,20.430333333333333,2.0229999999999997,43.492066666666666,2000,-7000,104,119,5
0,26,Loss,2015-11-07,3,1.3333333333333333,101.33333333333333,21.666666666666668,21.0,8.333333333333334,7.333333333333333,20.333333333333332,80.0,0.4389,55.333333333333336,0.4660333333333333,24.666666666666668,0.3804666666666667,30.666666666666668,0.7336,11.0,32.666666666666664,48.73609999999999,0.546,0.4972999999999999,24.046833333333336,73.1746,18.3206,8.1535,13.136033333333332,1.2988333333333333,71.5,99.63693333333333,103.80863333333333,-4.1717,0.38809999999999995,15.890733333333335,1.0310666666666666,39.8148,0.6666666666666666,97.33333333333333,24.0,15.0,11.0,6.0,19.666666666666668,80.33333333333333,0.4572333333333334,56.333333333333336,0.5103333333333334,24.0,0.33590000000000003,20.333333333333332,0.7881333333333335,7.0,32.666666666666664,43.3381,0.5457333333333333,0.5071333333333333,17.64163333333333,82.35836666666667,14.392866666666668,11.6263,10.819299999999998,1.2146333333333335,77.125,102.26206666666667,100.36936666666666,1.8927000000000003,0.41546666666666665,18.706,1.5999999999999999,73.33333333333333,175,-205,99,114,5
29,12,Loss,2015-11-07,3,1.6666666666666667,84.33333333333333,20.666666666666668,15.333333333333334,6.0,4.333333333333333,19.333333333333332,79.66666666666667,0.4391,63.0,0.48550000000000004,16.666666666666668,0.2604666666666667,15.333333333333334,0.6564,8.0,31.333333333333332,47.59866666666667,0.48746666666666666,0.4663333333333333,19.397966666666665,76.79090000000001,14.994099999999998,6.483066666666666,6.944399999999999,1.0580333333333334,56.333333333333336,91.87240000000001,110.12533333333333,-18.252933333333335,0.40376666666666666,16.812700000000003,1.3821666666666668,37.456133333333334,1.3333333333333333,100.33333333333333,24.666666666666668,14.666666666666666,7.333333333333333,3.3333333333333335,26.0,85.0,0.42110000000000003,63.333333333333336,0.44470000000000004,21.666666666666668,0.3798333333333333,25.333333333333332,0.8178666666666666,11.0,27.666666666666668,45.793533333333336,0.5224666666666666,0.4681333333333333,27.124066666666664,72.87593333333334,13.125133333333332,7.620133333333334,5.193566666666666,1.1839666666666666,66.5,104.53410000000001,113.50906666666667,-8.974966666666667,0.401,18.110566666666667,1.8023,51.71296666666667,235,-285,86,94,5
19,14,Loss,2015-11-08,3,1.75,101.25,16.5,15.75,9.5,4.25,23.25,82.25,0.414175,62.25,0.44157500000000005,20.0,0.322925,32.25,0.8301999999999999,11.5,35.75,53.6492,0.5255,0.45377500000000004,26.6709,79.17015,13.933525000000001,9.6639,6.78495,1.2343250000000001,68.65625,103.608275,98.534675,5.0736,0.39305,12.674025,1.067625,60.833325,1.3333333333333333,101.66666666666667,20.0,15.666666666666666,8.666666666666666,7.0,20.666666666666668,81.66666666666667,0.4745,58.333333333333336,0.5124666666666666,23.333333333333332,0.3959000000000001,19.333333333333332,0.8006000000000001,8.666666666666666,37.333333333333336,52.11536666666667,0.5662999999999999,0.5289666666666667,18.108433333333334,81.89156666666668,14.7382,8.939766666666666,12.179066666666666,1.2539666666666667,79.5,105.81723333333333,97.50893333333333,8.308300000000001,0.4361,15.909033333333332,1.3511333333333333,54.8088,130,-150,76,96,5
28,4,Loss,2015-11-09,3,1.5,102.25,24.25,16.0,8.5,6.75,21.25,88.5,0.45775,70.0,0.481175,18.5,0.37617500000000004,18.0,0.813175,10.25,34.0,49.579474999999995,0.530375,0.49585,23.751525,73.92047500000001,14.202225,8.547075,9.758825,1.157225,77.75,102.68365,100.8514,1.8322500000000004,0.429975,17.724125,1.5412,55.21935,1.5,92.25,18.0,17.5,7.25,4.25,19.0,79.75,0.42725,58.5,0.4619,21.25,0.3291,24.5,0.692625,11.75,30.25,48.310825,0.5099750000000001,0.47245000000000004,26.8642,73.1358,16.314725,7.721224999999999,7.675924999999999,1.1575250000000001,60.1875,98.55777499999999,105.14565,-6.587875,0.398175,14.141950000000001,1.1506,43.27380000000001,160,-180,84,97,5
13,23,Win,2015-11-09,3,1.6666666666666667,104.66666666666667,21.333333333333332,17.666666666666668,7.333333333333333,3.6666666666666665,22.333333333333332,84.0,0.4774,57.333333333333336,0.4985,26.666666666666668,0.42829999999999996,18.0,0.6519333333333334,5.666666666666667,35.0,43.43236666666667,0.5720999999999999,0.5471,13.374433333333334,68.82453333333332,16.0853,7.195566666666667,6.301066666666666,1.2533666666666667,70.33333333333333,103.20713333333333,107.8439,-4.636766666666666,0.41673333333333334,16.29393333333333,1.3,41.15383333333333,2.0,89.33333333333333,20.333333333333332,16.666666666666668,5.666666666666667,6.666666666666667,20.0,76.0,0.3995666666666666,52.0,0.43696666666666667,24.0,0.3416666666666666,28.666666666666668,0.6690999999999999,9.0,29.0,45.89486666666667,0.5013,0.45206666666666667,23.717633333333335,76.28236666666668,15.946433333333331,6.007366666666666,13.296666666666667,1.172,58.333333333333336,94.98243333333333,110.67493333333333,-15.6925,0.3642666666666667,16.047133333333335,1.2575666666666667,35.4489,-725,525,111,88,5
25,26,Win,2015-11-09,3,1.3333333333333333,103.0,22.666666666666668,13.666666666666666,6.0,5.666666666666667,24.333333333333332,83.33333333333333,0.4288666666666667,67.66666666666667,0.4635,15.666666666666666,0.2897666666666667,35.0,0.7574333333333333,9.0,39.666666666666664,48.679,0.5234333333333333,0.45576666666666665,19.094933333333334,73.80596666666666,12.160066666666665,5.8608,8.3664,1.2499666666666667,74.625,101.20463333333333,92.29016666666666,8.914466666666668,0.40503333333333336,16.713533333333334,1.9111,43.24073333333334,0.75,101.5,27.25,15.0,11.5,5.5,18.5,83.25,0.45977500000000004,57.0,0.5098750000000001,26.25,0.3504,19.0,0.8411000000000001,7.75,31.75,44.691075,0.553825,0.5148499999999999,19.641475,80.358525,14.0957,11.93195,9.809399999999998,1.2207500000000002,83.5,104.865375,99.739425,5.12595,0.422425,20.1716,1.816675,76.666675,325,-400,117,107,5
7,6,Win,2015-11-09,3,1.25,98.5,21.5,17.0,8.0,6.25,16.75,84.0,0.467025,66.75,0.509,17.25,0.3056,18.75,0.793025,8.5,36.75,51.29945,0.5342250000000001,0.498425,21.5996,75.96435,15.516575000000001,8.136225,9.151074999999999,1.1741249999999999,74.90625,101.038925,98.497175,2.5417500000000004,0.42455,16.4622,1.323075,50.320499999999996,1.6,105.8,23.8,16.6,9.0,3.4,21.8,89.8,0.44197999999999993,67.2,0.47316,22.6,0.34364000000000006,26.6,0.6837,12.6,33.0,50.28548,0.51874,0.4856599999999999,27.473060000000004,72.52694,14.113660000000001,8.8655,4.8051200000000005,1.17586,74.525,103.25765999999999,107.2195,-3.9618399999999996,0.42382,16.6848,1.46396,55.73736,-340,275,106,88,5
17,8,Loss,2015-11-09,3,1.6666666666666667,108.66666666666667,18.0,13.333333333333334,8.666666666666666,3.6666666666666665,17.333333333333332,88.66666666666667,0.4583333333333333,61.666666666666664,0.4921,27.0,0.38136666666666663,28.0,0.6503333333333333,15.666666666666666,35.0,54.540666666666674,0.5392,0.5163000000000001,30.3332,80.8557,11.738666666666667,8.890966666666666,5.940866666666667,1.2352,81.91666666666667,111.74503333333332,99.03159999999998,12.713433333333333,0.4670666666666667,13.490266666666665,1.4162,75.9259,1.5,115.25,32.25,16.5,7.5,7.75,22.0,89.5,0.4731,60.0,0.50915,29.5,0.396025,25.25,0.74305,13.25,40.75,57.09125,0.57365,0.53875,24.710375,75.289625,13.9723,7.298299999999999,12.957225000000001,1.29255,102.46875,112.98102500000002,92.201925,20.779100000000003,0.45585,21.537025,2.0172499999999998,45.11905,800,-1300,95,109,5
9,18,Loss,2015-11-09,3,1.6,91.8,21.2,13.4,7.4,5.0,23.0,85.8,0.41258,66.2,0.45544,19.6,0.27674,21.8,0.7872,11.0,32.2,48.47516,0.48624,0.44356,23.89284,75.85896,12.28938,7.75138,7.687340000000001,1.08812,63.125,97.19283999999999,108.66217999999999,-11.46934,0.39984,16.297140000000002,1.62058,55.78714,2.0,106.25,23.75,12.0,5.5,6.75,20.0,83.25,0.469625,59.0,0.5579999999999999,24.25,0.242875,31.75,0.7128500000000001,7.25,38.25,46.82475,0.5471,0.505575,16.267075000000002,83.732925,10.94875,5.5199,11.55165,1.283125,81.84375,106.16999999999999,100.455025,5.714974999999999,0.443175,17.78315,2.082625,50.389925000000005,230,-290,92,94,5
