gmDate,away_abbr,home_abbr,Season,away_pace,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_offensive_rating,away_offensive_rebounds,away_personal_fouls,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,home_pace,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_offensive_rating,home_offensive_rebounds,home_personal_fouls,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,away_score,home_score,Winner,V ML,H ML,Num Games Avg
2019-11-02,3,14,0,100.43333333333334,62.06666666666666,24.333333333333332,6.166666666666667,3.3333333333333335,113.5,76.93333333333334,32.333333333333336,0.5336666666666666,86.0,0.45566666666666666,39.0,17.0,0.7803333333333334,13.666666666666666,104.46666666666665,10.666666666666666,20.0,6.633333333333333,6.666666666666667,0.412,35.333333333333336,0.38166666666666665,13.333333333333334,49.76666666666666,43.0,0.5636666666666666,16.5,18.333333333333332,50.666666666666664,0.5076666666666667,25.666666666666668,102.7,66.66666666666667,8.333333333333334,4.466666666666667,1.6666666666666667,126.39999999999999,76.73333333333333,10.0,0.5,22.333333333333332,0.5633333333333334,12.333333333333334,7.333333333333333,0.863,6.0,111.10000000000001,2.3333333333333335,2.6666666666666665,6.099999999999999,2.6666666666666665,0.36599999999999994,9.666666666666666,0.5333333333333333,5.0,47.9,12.333333333333334,0.5653333333333334,12.166666666666666,3.3333333333333335,12.666666666666666,0.5793333333333334,7.333333333333333,93,87,V,-255,205,3
2019-11-02,17,7,0,98.23333333333333,59.73333333333333,22.333333333333332,7.633333333333334,4.0,107.0,78.7,33.0,0.49033333333333334,89.33333333333333,0.42333333333333334,37.666666666666664,21.333333333333332,0.8649999999999999,18.333333333333332,107.33333333333333,11.666666666666666,21.666666666666668,8.200000000000001,8.0,0.35133333333333333,31.333333333333332,0.36999999999999994,11.666666666666666,49.96666666666667,44.666666666666664,0.5363333333333333,12.733333333333334,14.333333333333334,58.0,0.43900000000000006,26.0,95.66666666666667,63.866666666666674,7.0,8.566666666666668,2.0,100.96666666666665,77.33333333333333,11.333333333333334,0.4706666666666666,23.333333333333332,0.47833333333333333,11.0,2.6666666666666665,0.22199999999999998,0.6666666666666666,98.09999999999998,2.3333333333333335,4.666666666666667,8.633333333333333,1.3333333333333333,0.37333333333333335,10.333333333333334,0.3666666666666667,4.0,47.0,13.666666666666666,0.4896666666666667,11.033333333333333,3.6666666666666665,13.0,0.593,7.0,91,87,V,-180,150,3
2019-11-04,20,2,0,105.36666666666667,63.666666666666664,27.333333333333332,9.266666666666666,5.333333333333333,113.56666666666668,77.13333333333333,36.333333333333336,0.5163333333333333,98.66666666666667,0.436,43.0,19.333333333333332,0.7513333333333332,14.333333333333334,106.69999999999999,14.0,29.666666666666668,6.133333333333333,6.666666666666667,0.42700000000000005,42.333333333333336,0.3753333333333333,16.0,50.833333333333336,50.333333333333336,0.5426666666666666,13.899999999999999,17.333333333333332,56.333333333333336,0.48300000000000004,27.0,105.46666666666665,56.63333333333335,6.0,8.133333333333335,0.6666666666666666,108.59999999999998,79.8,7.666666666666667,0.5593333333333333,26.333333333333332,0.4283333333333334,11.333333333333334,3.6666666666666665,0.7333333333333334,2.3333333333333335,108.69999999999999,2.3333333333333335,6.333333333333333,7.866666666666667,2.6666666666666665,0.39433333333333337,8.333333333333334,0.49600000000000016,4.0,56.26666666666666,10.0,0.5856666666666667,18.099999999999998,2.6666666666666665,18.0,0.407,7.333333333333333,125,135,H,145,-170,3
2019-11-04,8,9,0,107.39999999999999,65.86666666666667,29.333333333333332,14.266666666666666,7.333333333333333,106.36666666666666,85.96666666666665,34.0,0.532,94.0,0.4693333333333333,44.333333333333336,22.333333333333332,0.7666666666666666,16.666666666666668,109.13333333333333,10.333333333333334,26.0,11.466666666666667,12.333333333333334,0.38833333333333336,36.0,0.32766666666666666,11.666666666666666,53.43333333333334,44.333333333333336,0.5626666666666665,14.799999999999999,18.0,58.0,0.5603333333333333,32.666666666666664,105.36666666666667,69.13333333333333,4.333333333333333,9.5,0.0,99.13333333333333,80.16666666666667,10.333333333333334,0.5496666666666666,22.333333333333332,0.4083333333333334,9.0,8.0,0.6943333333333334,6.0,110.23333333333333,2.6666666666666665,4.333333333333333,9.133333333333335,1.6666666666666667,0.4206666666666667,7.333333333333333,0.35833333333333334,2.3333333333333335,49.23333333333333,13.0,0.5853333333333334,13.5,3.0,15.0,0.43966666666666665,6.666666666666667,109,114,H,-110,-110,3
2019-11-06,24,23,0,97.46666666666668,63.96666666666667,23.666666666666668,6.933333333333331,4.0,113.09999999999998,67.49999999999999,29.666666666666668,0.48966666666666664,86.33333333333333,0.4286666666666667,37.0,23.0,0.7320000000000001,16.666666666666668,104.33333333333331,7.666666666666667,22.333333333333332,6.8,6.666666666666667,0.39666666666666667,34.333333333333336,0.30866666666666664,10.666666666666666,41.43333333333333,37.333333333333336,0.5246666666666666,10.1,11.0,52.0,0.5070000000000001,26.333333333333332,101.76666666666667,56.9,6.0,8.533333333333335,3.0,102.16666666666667,77.53333333333332,9.0,0.49000000000000005,23.0,0.461,10.666666666666666,5.333333333333333,0.5666666666666668,3.0,101.00000000000001,2.3333333333333335,5.0,8.399999999999999,2.3333333333333335,0.3466666666666667,8.666666666666666,0.3476666666666666,3.0,52.23333333333334,11.333333333333334,0.523,15.700000000000001,3.3333333333333335,14.333333333333334,0.5316666666666667,7.666666666666667,113,93,V,-110,-110,3
2019-11-06,7,4,0,98.56666666666668,51.5,17.333333333333332,13.700000000000001,7.0,104.7,82.36666666666666,35.0,0.4123333333333334,90.0,0.3753333333333333,33.666666666666664,25.0,0.8756666666666666,22.0,97.60000000000001,13.666666666666666,19.666666666666668,7.366666666666667,7.333333333333333,0.3396666666666666,30.666666666666668,0.20166666666666666,6.666666666666667,50.866666666666674,48.666666666666664,0.4763333333333333,11.766666666666666,13.333333333333334,59.333333333333336,0.4546666666666666,27.0,103.3,59.699999999999996,5.0,5.266666666666667,0.6666666666666666,106.06666666666668,83.16666666666667,10.333333333333334,0.48566666666666664,23.666666666666668,0.365,8.666666666666666,4.0,0.7223333333333333,3.0,105.33333333333333,1.3333333333333333,7.666666666666667,5.666666666666667,1.6666666666666667,0.453,10.0,0.2956666666666667,3.0,52.73333333333333,11.666666666666666,0.5396666666666667,14.200000000000001,4.0,13.666666666666666,0.4206666666666667,5.666666666666667,106,107,H,250,-310,3
2019-11-06,27,13,0,97.0,55.166666666666664,19.333333333333332,12.566666666666665,6.0,107.39999999999999,78.69999999999999,33.0,0.48933333333333334,85.33333333333333,0.415,35.333333333333336,23.0,0.646,14.666666666666666,100.86666666666667,11.666666666666666,23.0,7.833333333333335,8.0,0.36533333333333334,31.333333333333332,0.4246666666666666,12.666666666666666,48.46666666666666,44.666666666666664,0.5133333333333333,14.633333333333333,16.666666666666668,54.0,0.4213333333333333,22.666666666666668,102.36666666666667,52.26666666666666,6.666666666666667,9.6,0.3333333333333333,104.06666666666668,78.86666666666666,7.333333333333333,0.5413333333333333,25.0,0.4013333333333334,10.0,5.666666666666667,0.7953333333333333,4.0,104.26666666666667,2.3333333333333335,5.333333333333333,6.566666666666667,3.3333333333333335,0.28099999999999997,8.0,0.25933333333333336,2.3333333333333335,48.53333333333333,9.666666666666666,0.5703333333333335,15.4,3.0,17.0,0.4416666666666667,7.666666666666667,102,122,H,142,-165,3
2019-11-06,29,5,0,103.06666666666668,62.633333333333326,25.666666666666668,9.166666666666666,5.666666666666667,102.7,77.89999999999999,36.0,0.4983333333333333,95.0,0.43166666666666664,41.0,15.0,0.7796666666666666,11.666666666666666,103.3,9.0,22.666666666666668,5.833333333333333,6.0,0.4073333333333333,38.666666666666664,0.3356666666666667,12.666666666666666,47.699999999999996,45.0,0.5226666666666667,12.6,14.666666666666666,56.333333333333336,0.5026666666666667,28.333333333333332,103.2,61.56666666666666,5.666666666666667,15.833333333333334,0.3333333333333333,100.10000000000001,84.23333333333333,12.0,0.48533333333333334,21.666666666666668,0.41900000000000004,9.0,4.666666666666667,0.722,3.6666666666666665,103.5,1.0,3.6666666666666665,7.1000000000000005,1.6666666666666667,0.2743333333333333,7.0,0.3133333333333333,2.0,51.5,13.0,0.5313333333333333,12.766666666666666,5.333333333333333,14.666666666666666,0.47766666666666663,7.0,106,121,H,130,-150,3
2019-11-06,28,19,0,108.53333333333335,57.333333333333336,25.0,12.199999999999998,7.333333333333333,99.93333333333332,76.5,37.0,0.5426666666666666,88.66666666666667,0.4703333333333333,42.0,25.333333333333332,0.7326666666666667,18.666666666666668,106.39999999999999,7.333333333333333,21.666666666666668,10.2,11.0,0.4216666666666667,37.333333333333336,0.34600000000000003,13.0,49.26666666666667,44.333333333333336,0.5773333333333333,16.0,19.0,51.333333333333336,0.5603333333333333,29.0,104.3,58.46666666666667,7.333333333333333,16.333333333333332,1.0,109.06666666666666,80.36666666666667,8.333333333333334,0.5116666666666666,24.333333333333332,0.48866666666666664,11.666666666666666,6.0,0.6083333333333333,3.6666666666666665,104.16666666666667,2.6666666666666665,6.333333333333333,9.633333333333335,1.0,0.30400000000000005,11.666666666666666,0.33866666666666667,4.0,52.333333333333336,11.0,0.5426666666666667,12.966666666666667,3.3333333333333335,12.666666666666666,0.5903333333333334,7.666666666666667,121,137,H,-170,145,3
2019-11-06,22,1,0,101.53333333333335,54.76666666666667,19.333333333333332,8.4,4.333333333333333,107.7,84.56666666666666,33.333333333333336,0.47766666666666663,84.33333333333333,0.4143333333333334,35.0,22.666666666666668,0.7060000000000001,15.666666666666666,95.33333333333333,9.333333333333334,24.0,5.633333333333333,5.666666666666667,0.371,31.333333333333332,0.33299999999999996,10.666666666666666,50.1,42.666666666666664,0.5099999999999999,16.566666666666666,19.0,53.0,0.4656666666666666,24.333333333333332,103.16666666666667,57.06666666666666,7.666666666666667,4.233333333333333,1.3333333333333333,103.0,76.96666666666668,8.0,0.5306666666666667,27.666666666666668,0.3726666666666667,10.333333333333334,3.6666666666666665,0.778,2.6666666666666665,112.09999999999998,4.666666666666667,4.666666666666667,8.833333333333334,2.0,0.387,9.666666666666666,0.347,3.3333333333333335,49.666666666666664,12.666666666666666,0.586,13.033333333333333,3.6666666666666665,18.0,0.37933333333333336,7.0,120,124,H,275,-350,3
