Date,Name,Team
2019-10-02,John Wall ,Wizards
2019-10-03,John Wall ,Wizards
2019-10-04,John Wall ,Wizards
2019-10-05,John Wall ,Wizards
2019-10-06,John Wall ,Wizards
2019-10-07,John Wall ,Wizards
2019-10-08,John Wall ,Wizards
2019-10-09,John Wall ,Wizards
2019-10-10,John Wall ,Wizards
2019-10-11,John Wall ,Wizards
2019-10-11,Eric Bledsoe,Bucks
2019-10-12,John Wall ,Wizards
2019-10-12,Eric Bledsoe,Bucks
2019-10-13,John Wall ,Wizards
2019-10-13,Eric Bledsoe,Bucks
2019-10-13,Gerald Green ,Rockets
2019-10-14,John Wall ,Wizards
2019-10-14,Eric Bledsoe,Bucks
2019-10-14,Gerald Green ,Rockets
2019-10-15,John Wall ,Wizards
2019-10-15,Eric Bledsoe,Bucks
2019-10-15,Gerald Green ,Rockets
2019-10-16,John Wall ,Wizards
2019-10-16,Eric Bledsoe,Bucks
2019-10-16,Gerald Green ,Rockets
2019-10-17,John Wall ,Wizards
2019-10-17,Eric Bledsoe,Bucks
2019-10-17,Gerald Green ,Rockets
2019-10-17,Ante Zizic,Cavaliers
2019-10-18,John Wall ,Wizards
2019-10-18,Eric Bledsoe,Bucks
2019-10-18,Gerald Green ,Rockets
2019-10-18,Ante Zizic,Cavaliers
2019-10-18,Zion Williamson,Pelicans
2019-10-19,John Wall ,Wizards
2019-10-19,Eric Bledsoe,Bucks
2019-10-19,Gerald Green ,Rockets
2019-10-19,Ante Zizic,Cavaliers
2019-10-19,Zion Williamson,Pelicans
2019-10-20,John Wall ,Wizards
2019-10-20,Eric Bledsoe,Bucks
2019-10-20,Gerald Green ,Rockets
2019-10-20,Ante Zizic,Cavaliers
2019-10-20,Zion Williamson,Pelicans
2019-10-21,John Wall ,Wizards
2019-10-21,Eric Bledsoe,Bucks
2019-10-21,Gerald Green ,Rockets
2019-10-21,Ante Zizic,Cavaliers
2019-10-21,Zion Williamson,Pelicans
2019-10-21,Amir Coffey,Clippers
2019-10-21,Rodney McGruder,Clippers
2019-10-21,Kyle Kuzma,Lakers
2019-10-21,Darius Miller,Pelicans
2019-10-21,Patrick McCaw,Raptors
2019-10-21,Rondae Hollis-Jefferson,Raptors
2019-10-22,John Wall ,Wizards
2019-10-22,Eric Bledsoe,Bucks
2019-10-22,Gerald Green ,Rockets
2019-10-22,Ante Zizic,Cavaliers
2019-10-22,Zion Williamson,Pelicans
2019-10-22,Amir Coffey,Clippers
2019-10-22,Rodney McGruder,Clippers
2019-10-22,Kyle Kuzma,Lakers
2019-10-22,Darius Miller,Pelicans
2019-10-22,Patrick McCaw,Raptors
2019-10-22,Rondae Hollis-Jefferson,Raptors
2019-10-22,Pau Gasol,Blazers
2019-10-22,Chandler Hutchison,Bulls
2019-10-22,Romeo Langford,Celtics
2019-10-22,Tacko Fall,Celtics
2019-10-22,Paul George,Clippers
2019-10-22,Udonis Haslem,Heat
2019-10-22,Dante Exum,Jazz
2019-10-22,Harry Giles,Kings
2019-10-22,Kadeem Allen,Knicks
2019-10-22,DeMarcus Cousins,Lakers
2019-10-22,Rajon Rondo,Lakers
2019-10-22,Dwight Powell,Mavericks
2019-10-22,Blake Griffin,Pistons
2019-10-22,Sekou Doumbouya,Pistons
2019-10-22,Cameron Johnson,Suns
2019-10-22,Ty Jerome,Suns
2019-10-22,Andre Roberson,Thunder
2019-10-22,C.J. Miles,Wizards
2019-10-22,Troy Brown Jr.,Wizards
2019-10-23,John Wall ,Wizards
2019-10-23,Eric Bledsoe,Bucks
2019-10-23,Gerald Green ,Rockets
2019-10-23,Ante Zizic,Cavaliers
2019-10-23,Zion Williamson,Pelicans
2019-10-23,Amir Coffey,Clippers
2019-10-23,Rodney McGruder,Clippers
2019-10-23,Kyle Kuzma,Lakers
2019-10-23,Darius Miller,Pelicans
2019-10-23,Patrick McCaw,Raptors
2019-10-23,Rondae Hollis-Jefferson,Raptors
2019-10-23,Pau Gasol,Blazers
2019-10-23,Chandler Hutchison,Bulls
2019-10-23,Romeo Langford,Celtics
2019-10-23,Tacko Fall,Celtics
2019-10-23,Paul George,Clippers
2019-10-23,Udonis Haslem,Heat
2019-10-23,Dante Exum,Jazz
2019-10-23,Harry Giles,Kings
2019-10-23,Kadeem Allen,Knicks
2019-10-23,DeMarcus Cousins,Lakers
2019-10-23,Rajon Rondo,Lakers
2019-10-23,Dwight Powell,Mavericks
2019-10-23,Blake Griffin,Pistons
2019-10-23,Sekou Doumbouya,Pistons
2019-10-23,Cameron Johnson,Suns
2019-10-23,Ty Jerome,Suns
2019-10-23,Andre Roberson,Thunder
2019-10-23,C.J. Miles,Wizards
2019-10-23,Troy Brown Jr.,Wizards
2019-10-23,Zhaire Smith,76ers
2019-10-23,Jusuf Nurkic,Blazers
2019-10-23,Adam Mokoka,Bulls
2019-10-23,Cristiano Felicio,Bulls
2019-10-23,Max Strus,Bulls
2019-10-23,Shaquille Harrison,Bulls
2019-10-23,John Henson,Cavaliers
2019-10-23,Andre Iguodala,Grizzlies
2019-10-23,Allen Crabbe,Hawks
2019-10-23,Chandler Parsons,Hawks
2019-10-23,Dion Waiters,Heat
2019-10-23,James Johnson,Heat
2019-10-23,Mitchell Robinson,Knicks
2019-10-23,Reggie Bullock,Knicks
2019-10-23,Ryan Broekhoff,Mavericks
2019-10-23,Nicolas Claxton,Nets
2019-10-23,Bol Bol,Nuggets
2019-10-23,Jordan Bone,Pistons
2019-10-23,Michael Frazier II,Rockets
2019-10-23,Nene Hilario ,Rockets
2019-10-23,Jalen Lecque,Suns
2019-10-23,Keita Bates-Diop,Timberwolves
2019-10-23,Naz Reid,Timberwolves
2019-10-23,Ian Mahinmi,Wizards
2019-10-23,Isaiah Thomas,Wizards
2019-10-24,John Wall ,Wizards
2019-10-24,Gerald Green ,Rockets
2019-10-24,Ante Zizic,Cavaliers
2019-10-24,Zion Williamson,Pelicans
2019-10-24,Amir Coffey,Clippers
2019-10-24,Rodney McGruder,Clippers
2019-10-24,Kyle Kuzma,Lakers
2019-10-24,Darius Miller,Pelicans
2019-10-24,Patrick McCaw,Raptors
2019-10-24,Rondae Hollis-Jefferson,Raptors
2019-10-24,Pau Gasol,Blazers
2019-10-24,Chandler Hutchison,Bulls
2019-10-24,Romeo Langford,Celtics
2019-10-24,Tacko Fall,Celtics
2019-10-24,Paul George,Clippers
2019-10-24,Udonis Haslem,Heat
2019-10-24,Dante Exum,Jazz
2019-10-24,Harry Giles,Kings
2019-10-24,Kadeem Allen,Knicks
2019-10-24,DeMarcus Cousins,Lakers
2019-10-24,Rajon Rondo,Lakers
2019-10-24,Dwight Powell,Mavericks
2019-10-24,Blake Griffin,Pistons
2019-10-24,Sekou Doumbouya,Pistons
2019-10-24,Cameron Johnson,Suns
2019-10-24,Ty Jerome,Suns
2019-10-24,Andre Roberson,Thunder
2019-10-24,C.J. Miles,Wizards
2019-10-24,Troy Brown Jr.,Wizards
2019-10-24,Zhaire Smith,76ers
2019-10-24,Jusuf Nurkic,Blazers
2019-10-24,Adam Mokoka,Bulls
2019-10-24,Cristiano Felicio,Bulls
2019-10-24,Max Strus,Bulls
2019-10-24,Shaquille Harrison,Bulls
2019-10-24,John Henson,Cavaliers
2019-10-24,Andre Iguodala,Grizzlies
2019-10-24,Allen Crabbe,Hawks
2019-10-24,Chandler Parsons,Hawks
2019-10-24,Dion Waiters,Heat
2019-10-24,James Johnson,Heat
2019-10-24,Mitchell Robinson,Knicks
2019-10-24,Reggie Bullock,Knicks
2019-10-24,Ryan Broekhoff,Mavericks
2019-10-24,Nicolas Claxton,Nets
2019-10-24,Bol Bol,Nuggets
2019-10-24,Jordan Bone,Pistons
2019-10-24,Michael Frazier II,Rockets
2019-10-24,Nene Hilario ,Rockets
2019-10-24,Jalen Lecque,Suns
2019-10-24,Keita Bates-Diop,Timberwolves
2019-10-24,Naz Reid,Timberwolves
2019-10-24,Ian Mahinmi,Wizards
2019-10-24,Isaiah Thomas,Wizards
2019-10-24,Dragan Bender,Bucks
2019-10-24,Frank Mason,Bucks
2019-10-24,Enes Kanter,Celtics
2019-10-24,Nicolas Batum,Hornets
2019-10-24,Marvin Bagley III,Kings
2019-10-24,Alec Burks,Warriors
2019-10-24,Alen Smailagic,Warriors
2019-10-24,Willie Cauley-Stein,Warriors
2019-10-24,Jordan McRae,Wizards
2019-10-25,John Wall ,Wizards
2019-10-25,Gerald Green ,Rockets
2019-10-25,Ante Zizic,Cavaliers
2019-10-25,Zion Williamson,Pelicans
2019-10-25,Amir Coffey,Clippers
2019-10-25,Rodney McGruder,Clippers
2019-10-25,Kyle Kuzma,Lakers
2019-10-25,Darius Miller,Pelicans
2019-10-25,Patrick McCaw,Raptors
2019-10-25,Rondae Hollis-Jefferson,Raptors
2019-10-25,Pau Gasol,Blazers
2019-10-25,Chandler Hutchison,Bulls
2019-10-25,Romeo Langford,Celtics
2019-10-25,Tacko Fall,Celtics
2019-10-25,Paul George,Clippers
2019-10-25,Udonis Haslem,Heat
2019-10-25,Dante Exum,Jazz
2019-10-25,Harry Giles,Kings
2019-10-25,Kadeem Allen,Knicks
2019-10-25,DeMarcus Cousins,Lakers
2019-10-25,Rajon Rondo,Lakers
2019-10-25,Dwight Powell,Mavericks
2019-10-25,Blake Griffin,Pistons
2019-10-25,Sekou Doumbouya,Pistons
2019-10-25,Cameron Johnson,Suns
2019-10-25,Ty Jerome,Suns
2019-10-25,Andre Roberson,Thunder
2019-10-25,C.J. Miles,Wizards
2019-10-25,Troy Brown Jr.,Wizards
2019-10-25,Zhaire Smith,76ers
2019-10-25,Jusuf Nurkic,Blazers
2019-10-25,Adam Mokoka,Bulls
2019-10-25,Cristiano Felicio,Bulls
2019-10-25,Max Strus,Bulls
2019-10-25,John Henson,Cavaliers
2019-10-25,Andre Iguodala,Grizzlies
2019-10-25,Allen Crabbe,Hawks
2019-10-25,Chandler Parsons,Hawks
2019-10-25,Dion Waiters,Heat
2019-10-25,James Johnson,Heat
2019-10-25,Reggie Bullock,Knicks
2019-10-25,Nicolas Claxton,Nets
2019-10-25,Bol Bol,Nuggets
2019-10-25,Jordan Bone,Pistons
2019-10-25,Michael Frazier II,Rockets
2019-10-25,Nene Hilario ,Rockets
2019-10-25,Jalen Lecque,Suns
2019-10-25,Keita Bates-Diop,Timberwolves
2019-10-25,Naz Reid,Timberwolves
2019-10-25,Ian Mahinmi,Wizards
2019-10-25,Isaiah Thomas,Wizards
2019-10-25,Dragan Bender,Bucks
2019-10-25,Frank Mason,Bucks
2019-10-25,Enes Kanter,Celtics
2019-10-25,Nicolas Batum,Hornets
2019-10-25,Marvin Bagley III,Kings
2019-10-25,Alec Burks,Warriors
2019-10-25,Alen Smailagic,Warriors
2019-10-25,Willie Cauley-Stein,Warriors
2019-10-25,Jordan McRae,Wizards
2019-10-25,Bojan Bogdanovic,Jazz
2019-10-25,Isaiah Roby,Mavericks
2019-10-26,John Wall ,Wizards
2019-10-26,Gerald Green ,Rockets
2019-10-26,Ante Zizic,Cavaliers
2019-10-26,Zion Williamson,Pelicans
2019-10-26,Amir Coffey,Clippers
2019-10-26,Rodney McGruder,Clippers
2019-10-26,Kyle Kuzma,Lakers
2019-10-26,Darius Miller,Pelicans
2019-10-26,Patrick McCaw,Raptors
2019-10-26,Pau Gasol,Blazers
2019-10-26,Chandler Hutchison,Bulls
2019-10-26,Romeo Langford,Celtics
2019-10-26,Paul George,Clippers
2019-10-26,Dante Exum,Jazz
2019-10-26,Harry Giles,Kings
2019-10-26,Kadeem Allen,Knicks
2019-10-26,DeMarcus Cousins,Lakers
2019-10-26,Rajon Rondo,Lakers
2019-10-26,Dwight Powell,Mavericks
2019-10-26,Blake Griffin,Pistons
2019-10-26,Sekou Doumbouya,Pistons
2019-10-26,Ty Jerome,Suns
2019-10-26,Andre Roberson,Thunder
2019-10-26,C.J. Miles,Wizards
2019-10-26,Troy Brown Jr.,Wizards
2019-10-26,Zhaire Smith,76ers
2019-10-26,Jusuf Nurkic,Blazers
2019-10-26,Adam Mokoka,Bulls
2019-10-26,Cristiano Felicio,Bulls
2019-10-26,Max Strus,Bulls
2019-10-26,Andre Iguodala,Grizzlies
2019-10-26,Allen Crabbe,Hawks
2019-10-26,Chandler Parsons,Hawks
2019-10-26,Dion Waiters,Heat
2019-10-26,James Johnson,Heat
2019-10-26,Reggie Bullock,Knicks
2019-10-26,Nicolas Claxton,Nets
2019-10-26,Bol Bol,Nuggets
2019-10-26,Michael Frazier II,Rockets
2019-10-26,Nene Hilario ,Rockets
2019-10-26,Jalen Lecque,Suns
2019-10-26,Keita Bates-Diop,Timberwolves
2019-10-26,Naz Reid,Timberwolves
2019-10-26,Ian Mahinmi,Wizards
2019-10-26,Dragan Bender,Bucks
2019-10-26,Frank Mason,Bucks
2019-10-26,Enes Kanter,Celtics
2019-10-26,Nicolas Batum,Hornets
2019-10-26,Marvin Bagley III,Kings
2019-10-26,Alec Burks,Warriors
2019-10-26,Alen Smailagic,Warriors
2019-10-26,Willie Cauley-Stein,Warriors
2019-10-26,Jordan McRae,Wizards
2019-10-26,Isaiah Roby,Mavericks
2019-10-26,Joel Embiid,76ers
2019-10-26,Daniel Theis,Celtics
2019-10-26,Jeremy Lamb,Pacers
2019-10-26,Jrue Holiday,Pelicans
2019-10-26,Reggie Jackson ,Pistons
2019-10-26,Ricky Rubio,Suns
2019-10-27,John Wall ,Wizards
2019-10-27,Gerald Green ,Rockets
2019-10-27,Ante Zizic,Cavaliers
2019-10-27,Zion Williamson,Pelicans
2019-10-27,Amir Coffey,Clippers
2019-10-27,Rodney McGruder,Clippers
2019-10-27,Kyle Kuzma,Lakers
2019-10-27,Darius Miller,Pelicans
2019-10-27,Patrick McCaw,Raptors
2019-10-27,Pau Gasol,Blazers
2019-10-27,Chandler Hutchison,Bulls
2019-10-27,Romeo Langford,Celtics
2019-10-27,Paul George,Clippers
2019-10-27,Dante Exum,Jazz
2019-10-27,Harry Giles,Kings
2019-10-27,Kadeem Allen,Knicks
2019-10-27,DeMarcus Cousins,Lakers
2019-10-27,Rajon Rondo,Lakers
2019-10-27,Dwight Powell,Mavericks
2019-10-27,Blake Griffin,Pistons
2019-10-27,Sekou Doumbouya,Pistons
2019-10-27,Ty Jerome,Suns
2019-10-27,Andre Roberson,Thunder
2019-10-27,C.J. Miles,Wizards
2019-10-27,Troy Brown Jr.,Wizards
2019-10-27,Zhaire Smith,76ers
2019-10-27,Jusuf Nurkic,Blazers
2019-10-27,Adam Mokoka,Bulls
2019-10-27,Cristiano Felicio,Bulls
2019-10-27,Max Strus,Bulls
2019-10-27,Andre Iguodala,Grizzlies
2019-10-27,Allen Crabbe,Hawks
2019-10-27,Chandler Parsons,Hawks
2019-10-27,Dion Waiters,Heat
2019-10-27,James Johnson,Heat
2019-10-27,Reggie Bullock,Knicks
2019-10-27,Nicolas Claxton,Nets
2019-10-27,Bol Bol,Nuggets
2019-10-27,Michael Frazier II,Rockets
2019-10-27,Nene Hilario ,Rockets
2019-10-27,Jalen Lecque,Suns
2019-10-27,Keita Bates-Diop,Timberwolves
2019-10-27,Naz Reid,Timberwolves
2019-10-27,Ian Mahinmi,Wizards
2019-10-27,Dragan Bender,Bucks
2019-10-27,Frank Mason,Bucks
2019-10-27,Enes Kanter,Celtics
2019-10-27,Nicolas Batum,Hornets
2019-10-27,Marvin Bagley III,Kings
2019-10-27,Alec Burks,Warriors
2019-10-27,Alen Smailagic,Warriors
2019-10-27,Willie Cauley-Stein,Warriors
2019-10-27,Jordan McRae,Wizards
2019-10-27,Isaiah Roby,Mavericks
2019-10-27,Joel Embiid,76ers
2019-10-27,Daniel Theis,Celtics
2019-10-27,Jeremy Lamb,Pacers
2019-10-27,Jrue Holiday,Pelicans
2019-10-27,Reggie Jackson ,Pistons
2019-10-27,Ricky Rubio,Suns
2019-10-27,John Henson,Cavaliers
2019-10-27,Derrick Jones Jr.,Heat
2019-10-27,Kevon Looney,Warriors
2019-10-28,John Wall ,Wizards
2019-10-28,Gerald Green ,Rockets
2019-10-28,Ante Zizic,Cavaliers
2019-10-28,Zion Williamson,Pelicans
2019-10-28,Amir Coffey,Clippers
2019-10-28,Rodney McGruder,Clippers
2019-10-28,Kyle Kuzma,Lakers
2019-10-28,Darius Miller,Pelicans
2019-10-28,Pau Gasol,Blazers
2019-10-28,Chandler Hutchison,Bulls
2019-10-28,Romeo Langford,Celtics
2019-10-28,Paul George,Clippers
2019-10-28,Dante Exum,Jazz
2019-10-28,Harry Giles,Kings
2019-10-28,Kadeem Allen,Knicks
2019-10-28,DeMarcus Cousins,Lakers
2019-10-28,Rajon Rondo,Lakers
2019-10-28,Dwight Powell,Mavericks
2019-10-28,Blake Griffin,Pistons
2019-10-28,Sekou Doumbouya,Pistons
2019-10-28,Ty Jerome,Suns
2019-10-28,Andre Roberson,Thunder
2019-10-28,C.J. Miles,Wizards
2019-10-28,Troy Brown Jr.,Wizards
2019-10-28,Zhaire Smith,76ers
2019-10-28,Jusuf Nurkic,Blazers
2019-10-28,Adam Mokoka,Bulls
2019-10-28,Cristiano Felicio,Bulls
2019-10-28,Max Strus,Bulls
2019-10-28,Andre Iguodala,Grizzlies
2019-10-28,Allen Crabbe,Hawks
2019-10-28,Chandler Parsons,Hawks
2019-10-28,Dion Waiters,Heat
2019-10-28,James Johnson,Heat
2019-10-28,Reggie Bullock,Knicks
2019-10-28,Nicolas Claxton,Nets
2019-10-28,Bol Bol,Nuggets
2019-10-28,Michael Frazier II,Rockets
2019-10-28,Nene Hilario ,Rockets
2019-10-28,Jalen Lecque,Suns
2019-10-28,Keita Bates-Diop,Timberwolves
2019-10-28,Naz Reid,Timberwolves
2019-10-28,Ian Mahinmi,Wizards
2019-10-28,Dragan Bender,Bucks
2019-10-28,Frank Mason,Bucks
2019-10-28,Enes Kanter,Celtics
2019-10-28,Nicolas Batum,Hornets
2019-10-28,Marvin Bagley III,Kings
2019-10-28,Alec Burks,Warriors
2019-10-28,Alen Smailagic,Warriors
2019-10-28,Willie Cauley-Stein,Warriors
2019-10-28,Jordan McRae,Wizards
2019-10-28,Isaiah Roby,Mavericks
2019-10-28,Daniel Theis,Celtics
2019-10-28,Jeremy Lamb,Pacers
2019-10-28,Jrue Holiday,Pelicans
2019-10-28,Reggie Jackson ,Pistons
2019-10-28,John Henson,Cavaliers
2019-10-28,Derrick Jones Jr.,Heat
2019-10-28,Kevon Looney,Warriors
2019-10-28,Zach Collins,Blazers
2019-10-28,Michael Kidd-Gilchrist,Hornets
2019-10-28,Derrick Favors,Pelicans
2019-10-28,Jordan Bone,Pistons
2019-10-28,Jared Harper,Suns
2019-10-29,John Wall ,Wizards
2019-10-29,Gerald Green ,Rockets
2019-10-29,Ante Zizic,Cavaliers
2019-10-29,Zion Williamson,Pelicans
2019-10-29,Amir Coffey,Clippers
2019-10-29,Rodney McGruder,Clippers
2019-10-29,Kyle Kuzma,Lakers
2019-10-29,Darius Miller,Pelicans
2019-10-29,Pau Gasol,Blazers
2019-10-29,Chandler Hutchison,Bulls
2019-10-29,Romeo Langford,Celtics
2019-10-29,Paul George,Clippers
2019-10-29,Dante Exum,Jazz
2019-10-29,Harry Giles,Kings
2019-10-29,Kadeem Allen,Knicks
2019-10-29,DeMarcus Cousins,Lakers
2019-10-29,Rajon Rondo,Lakers
2019-10-29,Blake Griffin,Pistons
2019-10-29,Sekou Doumbouya,Pistons
2019-10-29,Ty Jerome,Suns
2019-10-29,Andre Roberson,Thunder
2019-10-29,C.J. Miles,Wizards
2019-10-29,Zhaire Smith,76ers
2019-10-29,Jusuf Nurkic,Blazers
2019-10-29,Adam Mokoka,Bulls
2019-10-29,Cristiano Felicio,Bulls
2019-10-29,Max Strus,Bulls
2019-10-29,Andre Iguodala,Grizzlies
2019-10-29,Allen Crabbe,Hawks
2019-10-29,Chandler Parsons,Hawks
2019-10-29,Dion Waiters,Heat
2019-10-29,James Johnson,Heat
2019-10-29,Reggie Bullock,Knicks
2019-10-29,Nicolas Claxton,Nets
2019-10-29,Bol Bol,Nuggets
2019-10-29,Michael Frazier II,Rockets
2019-10-29,Nene Hilario ,Rockets
2019-10-29,Jalen Lecque,Suns
2019-10-29,Keita Bates-Diop,Timberwolves
2019-10-29,Naz Reid,Timberwolves
2019-10-29,Ian Mahinmi,Wizards
2019-10-29,Dragan Bender,Bucks
2019-10-29,Frank Mason,Bucks
2019-10-29,Enes Kanter,Celtics
2019-10-29,Nicolas Batum,Hornets
2019-10-29,Marvin Bagley III,Kings
2019-10-29,Alec Burks,Warriors
2019-10-29,Alen Smailagic,Warriors
2019-10-29,Willie Cauley-Stein,Warriors
2019-10-29,Jordan McRae,Wizards
2019-10-29,Isaiah Roby,Mavericks
2019-10-29,Daniel Theis,Celtics
2019-10-29,Jeremy Lamb,Pacers
2019-10-29,Jrue Holiday,Pelicans
2019-10-29,Reggie Jackson ,Pistons
2019-10-29,John Henson,Cavaliers
2019-10-29,Derrick Jones Jr.,Heat
2019-10-29,Kevon Looney,Warriors
2019-10-29,Zach Collins,Blazers
2019-10-29,Michael Kidd-Gilchrist,Hornets
2019-10-29,Derrick Favors,Pelicans
2019-10-29,Jordan Bone,Pistons
2019-10-29,Jared Harper,Suns
2019-10-29,Shake Milton,76ers
2019-10-29,Evan Turner,Hawks
2019-10-29,Elfrid Payton,Knicks
2019-10-29,Ryan Broekhoff,Mavericks
2019-10-30,John Wall ,Wizards
2019-10-30,Gerald Green ,Rockets
2019-10-30,Ante Zizic,Cavaliers
2019-10-30,Zion Williamson,Pelicans
2019-10-30,Amir Coffey,Clippers
2019-10-30,Kyle Kuzma,Lakers
2019-10-30,Darius Miller,Pelicans
2019-10-30,Pau Gasol,Blazers
2019-10-30,Chandler Hutchison,Bulls
2019-10-30,Paul George,Clippers
2019-10-30,Dante Exum,Jazz
2019-10-30,Harry Giles,Kings
2019-10-30,Kadeem Allen,Knicks
2019-10-30,DeMarcus Cousins,Lakers
2019-10-30,Rajon Rondo,Lakers
2019-10-30,Blake Griffin,Pistons
2019-10-30,Sekou Doumbouya,Pistons
2019-10-30,Ty Jerome,Suns
2019-10-30,Andre Roberson,Thunder
2019-10-30,C.J. Miles,Wizards
2019-10-30,Zhaire Smith,76ers
2019-10-30,Jusuf Nurkic,Blazers
2019-10-30,Adam Mokoka,Bulls
2019-10-30,Cristiano Felicio,Bulls
2019-10-30,Max Strus,Bulls
2019-10-30,Andre Iguodala,Grizzlies
2019-10-30,Allen Crabbe,Hawks
2019-10-30,Chandler Parsons,Hawks
2019-10-30,Dion Waiters,Heat
2019-10-30,James Johnson,Heat
2019-10-30,Reggie Bullock,Knicks
2019-10-30,Nicolas Claxton,Nets
2019-10-30,Bol Bol,Nuggets
2019-10-30,Michael Frazier II,Rockets
