Date,Name,Team
2016-10-22,Nerlens Noel,76ers
2016-10-22,Danny Green,Spurs
2016-10-22,Patrick Beverley,Rockets
2016-10-23,Nerlens Noel,76ers
2016-10-23,Danny Green,Spurs
2016-10-23,Patrick Beverley,Rockets
2016-10-23,Jared Sullinger,Raptors
2016-10-24,Nerlens Noel,76ers
2016-10-24,Danny Green,Spurs
2016-10-24,Patrick Beverley,Rockets
2016-10-24,Jared Sullinger,Raptors
2016-10-24,Jerryd Bayless,76ers
2016-10-24,Festus Ezeli,Blazers
2016-10-24,Shabazz Napier,Blazers
2016-10-24,Michael Beasley,Bucks
2016-10-24,Cristiano Felicio,Bulls
2016-10-24,Kay Felder,Cavaliers
2016-10-24,Paul Pierce,Clippers
2016-10-24,Brandan Wright,Grizzlies
2016-10-24,Chandler Parsons,Grizzlies
2016-10-24,Jarell Martin,Grizzlies
2016-10-24,Chris Bosh,Heat
2016-10-24,Josh McRoberts,Heat
2016-10-24,Wayne Ellington,Heat
2016-10-24,Brian Roberts,Hornets
2016-10-24,Frank Kaminsky,Hornets
2016-10-24,Alec Burks,Jazz
2016-10-24,Derrick Favors,Jazz
2016-10-24,Jose Calderon,Lakers
2016-10-24,Devin Harris,Mavericks
2016-10-24,Jose Barea ,Mavericks
2016-10-24,Caris LeVert,Nets
2016-10-24,Darrell Arthur,Nuggets
2016-10-24,Aaron Brooks,Pacers
2016-10-24,C.J. Miles,Pacers
2016-10-24,Quincy Pondexter,Pelicans
2016-10-24,Tyreke Evans,Pelicans
2016-10-24,Reggie Jackson ,Pistons
2016-10-24,Delon Wright,Raptors
2016-10-24,Jason Smith,Wizards
2016-10-25,Nerlens Noel,76ers
2016-10-25,Danny Green,Spurs
2016-10-25,Patrick Beverley,Rockets
2016-10-25,Jared Sullinger,Raptors
2016-10-25,Jerryd Bayless,76ers
2016-10-25,Festus Ezeli,Blazers
2016-10-25,Shabazz Napier,Blazers
2016-10-25,Michael Beasley,Bucks
2016-10-25,Cristiano Felicio,Bulls
2016-10-25,Kay Felder,Cavaliers
2016-10-25,Paul Pierce,Clippers
2016-10-25,Brandan Wright,Grizzlies
2016-10-25,Chandler Parsons,Grizzlies
2016-10-25,Jarell Martin,Grizzlies
2016-10-25,Chris Bosh,Heat
2016-10-25,Josh McRoberts,Heat
2016-10-25,Wayne Ellington,Heat
2016-10-25,Brian Roberts,Hornets
2016-10-25,Frank Kaminsky,Hornets
2016-10-25,Alec Burks,Jazz
2016-10-25,Derrick Favors,Jazz
2016-10-25,Jose Calderon,Lakers
2016-10-25,Devin Harris,Mavericks
2016-10-25,Jose Barea ,Mavericks
2016-10-25,Caris LeVert,Nets
2016-10-25,Darrell Arthur,Nuggets
2016-10-25,Aaron Brooks,Pacers
2016-10-25,C.J. Miles,Pacers
2016-10-25,Quincy Pondexter,Pelicans
2016-10-25,Tyreke Evans,Pelicans
2016-10-25,Reggie Jackson ,Pistons
2016-10-25,Delon Wright,Raptors
2016-10-25,Jason Smith,Wizards
2016-10-25,Tim Quarterman,Blazers
2016-10-25,Gordon Hayward,Jazz
2016-10-25,Marshall Plumlee,Knicks
2016-10-25,Maurice N'dour,Knicks
2016-10-25,Dejounte Murray,Spurs
2016-10-25,Damian Jones,Warriors
2016-10-25,James McAdoo ,Warriors
2016-10-26,Nerlens Noel,76ers
2016-10-26,Danny Green,Spurs
2016-10-26,Patrick Beverley,Rockets
2016-10-26,Jared Sullinger,Raptors
2016-10-26,Jerryd Bayless,76ers
2016-10-26,Festus Ezeli,Blazers
2016-10-26,Shabazz Napier,Blazers
2016-10-26,Michael Beasley,Bucks
2016-10-26,Cristiano Felicio,Bulls
2016-10-26,Kay Felder,Cavaliers
2016-10-26,Paul Pierce,Clippers
2016-10-26,Brandan Wright,Grizzlies
2016-10-26,Chandler Parsons,Grizzlies
2016-10-26,Jarell Martin,Grizzlies
2016-10-26,Chris Bosh,Heat
2016-10-26,Josh McRoberts,Heat
2016-10-26,Wayne Ellington,Heat
2016-10-26,Brian Roberts,Hornets
2016-10-26,Frank Kaminsky,Hornets
2016-10-26,Alec Burks,Jazz
2016-10-26,Derrick Favors,Jazz
2016-10-26,Jose Calderon,Lakers
2016-10-26,Devin Harris,Mavericks
2016-10-26,Caris LeVert,Nets
2016-10-26,Darrell Arthur,Nuggets
2016-10-26,Aaron Brooks,Pacers
2016-10-26,Quincy Pondexter,Pelicans
2016-10-26,Tyreke Evans,Pelicans
2016-10-26,Reggie Jackson ,Pistons
2016-10-26,Delon Wright,Raptors
2016-10-26,Jason Smith,Wizards
2016-10-26,Tim Quarterman,Blazers
2016-10-26,Gordon Hayward,Jazz
2016-10-26,Marshall Plumlee,Knicks
2016-10-26,Maurice N'dour,Knicks
2016-10-26,Dejounte Murray,Spurs
2016-10-26,Damian Jones,Warriors
2016-10-26,James McAdoo ,Warriors
2016-10-26,Ben Simmons,76ers
2016-10-26,Khris Middleton,Bucks
2016-10-26,Tony Snell,Bucks
2016-10-26,Kelly Olynyk,Celtics
2016-10-26,Marcus Smart,Celtics
2016-10-26,Tony Allen,Grizzlies
2016-10-26, Mike Scott,Hawks
2016-10-26,Giorgios Papagiannis ,Kings
2016-10-26,Skal Labissiere,Kings
2016-10-26,Ivica Zubac,Lakers
2016-10-26,Jodie Meeks,Magic
2016-10-26,Stephen Zimmerman Jr.,Magic
2016-10-26,A.J. Hammons,Mavericks
2016-10-26,Randy Foye,Nets
2016-10-26,Gary Harris,Nuggets
2016-10-26,Georges Niang,Pacers
2016-10-26,Rakeem Christmas,Pacers
2016-10-26,Reggie Bullock,Pistons
2016-10-26,Lucas Nogueira,Raptors
2016-10-26,Chinanu Onuaku,Rockets
2016-10-26,Derrick Jones Jr.,Suns
2016-10-26,John Jenkins,Suns
2016-10-26,Cameron Payne,Thunder
2016-10-26,Josh Huestis,Thunder
2016-10-26,John Lucas III,Timberwolves
2016-10-26,Nikola Pekovic,Timberwolves
2016-10-27,Nerlens Noel,76ers
2016-10-27,Danny Green,Spurs
2016-10-27,Patrick Beverley,Rockets
2016-10-27,Jared Sullinger,Raptors
2016-10-27,Jerryd Bayless,76ers
2016-10-27,Festus Ezeli,Blazers
2016-10-27,Shabazz Napier,Blazers
2016-10-27,Michael Beasley,Bucks
2016-10-27,Cristiano Felicio,Bulls
2016-10-27,Kay Felder,Cavaliers
2016-10-27,Paul Pierce,Clippers
2016-10-27,Brandan Wright,Grizzlies
2016-10-27,Chandler Parsons,Grizzlies
2016-10-27,Jarell Martin,Grizzlies
2016-10-27,Chris Bosh,Heat
2016-10-27,Josh McRoberts,Heat
2016-10-27,Wayne Ellington,Heat
2016-10-27,Brian Roberts,Hornets
2016-10-27,Frank Kaminsky,Hornets
2016-10-27,Alec Burks,Jazz
2016-10-27,Derrick Favors,Jazz
2016-10-27,Jose Calderon,Lakers
2016-10-27,Devin Harris,Mavericks
2016-10-27,Caris LeVert,Nets
2016-10-27,Darrell Arthur,Nuggets
2016-10-27,Aaron Brooks,Pacers
2016-10-27,Quincy Pondexter,Pelicans
2016-10-27,Tyreke Evans,Pelicans
2016-10-27,Reggie Jackson ,Pistons
2016-10-27,Delon Wright,Raptors
2016-10-27,Tim Quarterman,Blazers
2016-10-27,Gordon Hayward,Jazz
2016-10-27,Marshall Plumlee,Knicks
2016-10-27,Maurice N'dour,Knicks
2016-10-27,Dejounte Murray,Spurs
2016-10-27,Damian Jones,Warriors
2016-10-27,James McAdoo ,Warriors
2016-10-27,Ben Simmons,76ers
