Params,Profit
"[100, 0.01, 5, 100, 5, 0]",561.515979415353
"[100, 0.01, 5, 500, 1, 0]",522.3122757116489
"[100, 0.01, 5, 500, 3, 0]",557.627090526464
"[100, 0.01, 5, 500, 5, 0]",506.7567201560934
"[100, 0.05, 1, 10, 1, 0]",233.6838764431872
"[100, 0.05, 1, 10, 3, 0]",233.6838764431872
"[100, 0.05, 1, 10, 5, 0]",233.6838764431872
"[100, 0.05, 1, 100, 1, 0]",233.6838764431872
"[100, 0.05, 1, 100, 3, 0]",233.6838764431872
"[100, 0.05, 1, 100, 5, 0]",233.6838764431872
"[100, 0.05, 1, 500, 1, 0]",233.6838764431872
"[100, 0.05, 1, 500, 3, 0]",233.6838764431872
"[100, 0.05, 1, 500, 5, 0]",233.6838764431872
"[100, 0.05, 3, 10, 1, 0]",-196.7923225514499
"[100, 0.05, 3, 10, 3, 0]",-204.43517969430695
"[100, 0.05, 3, 10, 5, 0]",-209.88756064668786
"[100, 0.05, 3, 100, 1, 0]",-198.10184636097364
"[100, 0.05, 3, 100, 3, 0]",-204.43517969430695
"[100, 0.05, 3, 100, 5, 0]",-236.60184636097358
"[100, 0.05, 3, 500, 1, 0]",-209.88756064668786
"[100, 0.05, 3, 500, 3, 0]",-263.10184636097364
"[100, 0.05, 3, 500, 5, 0]",-218.60184636097352
"[100, 0.05, 5, 10, 1, 0]",-234.40411592308612
"[100, 0.05, 5, 10, 3, 0]",-223.2604001950589
"[100, 0.05, 5, 10, 5, 0]",-112.29335180943887
"[100, 0.05, 5, 100, 1, 0]",-157.24973293439152
"[100, 0.05, 5, 100, 3, 0]",-53.35499478965331
"[100, 0.05, 5, 100, 5, 0]",89.96660130113004
"[100, 0.05, 5, 500, 1, 0]",-98.77806571272437
"[100, 0.05, 5, 500, 3, 0]",102.5530630568499
"[100, 0.05, 5, 500, 5, 0]",53.51940074754639
"[100, 0.1, 1, 10, 1, 0]",-288.31708495372226
"[100, 0.1, 1, 10, 3, 0]",-288.31708495372226
"[100, 0.1, 1, 10, 5, 0]",-288.31708495372226
"[100, 0.1, 1, 100, 1, 0]",-288.31708495372226
"[100, 0.1, 1, 100, 3, 0]",-288.31708495372226
"[100, 0.1, 1, 100, 5, 0]",-288.31708495372226
"[100, 0.1, 1, 500, 1, 0]",-288.31708495372226
"[100, 0.1, 1, 500, 3, 0]",-288.31708495372226
"[100, 0.1, 1, 500, 5, 0]",-288.31708495372226
"[100, 0.1, 3, 10, 1, 0]",-301.173346939786
"[100, 0.1, 3, 10, 3, 0]",-146.66802779084983
"[100, 0.1, 3, 10, 5, 0]",-188.10818223100424
"[100, 0.1, 3, 100, 1, 0]",-167.8638231302622
"[100, 0.1, 3, 100, 3, 0]",-223.22722985005188
"[100, 0.1, 3, 100, 5, 0]",-174.29623291905492
"[100, 0.1, 3, 500, 1, 0]",-194.56620408264308
"[100, 0.1, 3, 500, 3, 0]",-206.7986584214805
"[100, 0.1, 3, 500, 5, 0]",-206.2986584214805
"[100, 0.1, 5, 10, 1, 0]",-663.4307252069129
"[100, 0.1, 5, 10, 3, 0]",3.365916687537888
"[100, 0.1, 5, 10, 5, 0]",-54.515040889755944
"[100, 0.1, 5, 100, 1, 0]",-62.424694874812964
"[100, 0.1, 5, 100, 3, 0]",-67.06594596919145
"[100, 0.1, 5, 100, 5, 0]",1.3153407252559837
"[100, 0.1, 5, 500, 1, 0]",-372.7290329320185
"[100, 0.1, 5, 500, 3, 0]",-582.662193810259
"[100, 0.1, 5, 500, 5, 0]",-256.64730662779056
"[500, 0.01, 1, 10, 1, 0]",73.01720977652064
"[500, 0.01, 1, 10, 3, 0]",73.01720977652064
"[500, 0.01, 1, 10, 5, 0]",73.01720977652064
"[500, 0.01, 1, 100, 1, 0]",73.01720977652064
"[500, 0.01, 1, 100, 3, 0]",73.01720977652064
"[500, 0.01, 1, 100, 5, 0]",73.01720977652064
"[500, 0.01, 1, 500, 1, 0]",73.01720977652064
"[500, 0.01, 1, 500, 3, 0]",73.01720977652064
"[500, 0.01, 1, 500, 5, 0]",73.01720977652064
"[500, 0.01, 3, 10, 1, 0]",65.61186693700753
