Date,VH,Team,Final,ML
1222,V,GSW,99,265
1222,H,BRK,125,-320
1222,V,LAC,116,115
1222,H,LAL,109,-135
1223,V,CHO,114,-140
1223,H,CLE,121,120
1223,V,NYK,107,270
1223,H,IND,121,-330
1223,V,MIA,107,-190
1223,H,ORL,113,170
1223,V,WAS,107,250
1223,H,PHI,113,-300
1223,V,MIL,121,-190
1223,H,BOS,122,170
1223,V,NOP,113,150
1223,H,TOR,99,-170
1223,V,ATL,124,-130
1223,H,CHI,104,110
1223,V,SAS,131,110
1223,H,MEM,119,-130
1223,V,DET,101,190
1223,H,MIN,111,-220
1223,V,SAC,124,260
1223,H,DEN,122,-310
1223,V,UTA,120,-130
1223,H,POR,100,110
1223,V,DAL,102,100
1223,H,PHO,106,-120
1225,V,NOP,98,130
1225,H,MIA,111,-150
1225,V,GSW,99,450
1225,H,MIL,138,-600
1225,V,BRK,123,-145
1225,H,BOS,95,125
1225,V,DAL,115,225
1225,H,LAL,138,-265
1225,V,LAC,121,-160
1225,H,DEN,108,140
1226,V,ATL,122,120
1226,H,MEM,112,-140
1226,V,CLE,128,-110
1226,H,DET,119,-110
1226,V,ORL,130,110
1226,H,WAS,120,-130
1226,V,OKC,109,125
1226,H,CHO,107,-145
1226,V,PHI,109,-360
1226,H,NYK,89,300
1226,V,IND,125,-240
1226,H,CHI,106,200
1226,V,TOR,114,-145
1226,H,SAS,119,125
1226,V,MIN,116,375
1226,H,UTA,111,-450
1226,V,PHO,103,-160
1226,H,SAC,106,140
1226,V,HOU,126,300
1226,H,POR,128,-360
1227,V,DAL,124,140
1227,H,LAC,73,-160
1227,V,SAS,95,170
1227,H,NOP,98,-190
1227,V,ORL,120,-130
1227,H,WAS,113,110
1227,V,BRK,104,-600
1227,H,CHO,106,450
1227,V,PHI,94,-240
1227,H,CLE,118,200
1227,V,MIL,110,-1200
1227,H,NYK,130,750
1227,V,BOS,107,-135
1227,H,IND,108,115
1227,V,GSW,129,-165
1227,H,CHI,128,145
1227,V,PHO,116,-160
1227,H,SAC,100,140
1228,V,MIN,91,400
1228,H,LAL,127,-500
1228,V,MEM,116,-125
1228,H,BRK,111,105
1228,V,DET,120,400
1228,H,ATL,128,-500
1228,V,UTA,110,-400
1228,H,OKC,109,330
1228,V,HOU,111,225
1228,H,DEN,124,-265
1228,V,POR,115,195
1228,H,LAL,107,-230
1229,V,BOS,116,-105
1229,H,IND,111,-115
1229,V,CHI,115,210
1229,H,WAS,107,-250
1229,V,GSW,116,-170
1229,H,DET,106,150
1229,V,TOR,93,105
1229,H,PHI,100,-125
1229,V,NYK,95,140
1229,H,CLE,86,-160
1229,V,MIL,144,-240
1229,H,MIA,97,200
1229,V,ORL,118,-250
1229,H,OKC,107,210
1229,V,MIN,101,475
1229,H,LAC,124,-650
1229,V,NOP,86,105
1229,H,PHO,111,-125
1229,V,DEN,115,-110
1229,H,SAC,125,-110
1230,V,MEM,107,245
1230,H,BOS,126,-285
1230,V,MIL,108,-260
1230,H,MIA,119,220
1230,V,ATL,141,195
1230,H,BRK,145,-230
1230,V,CHO,118,300
1230,H,DAL,99,-360
1230,V,LAL,121,-310
1230,H,SAS,107,260
1230,V,POR,105,190
1230,H,LAC,128,-220
105,V,UTA,0,-190
105,H,BRK,0,165
105,V,LAL,0,-460
105,H,MEM,0,330
105,V,MIN,0,425
105,H,DEN,0,-650
105,V,SAS,0,255
105,H,LAC,0,-310
105,V,CHI,0,320
105,H,POR,0,-440
106,V,HOU,0,125
106,H,IND,0,-145
106,V,WAS,0,220
106,H,PHI,0,-270
106,V,CLE,0,170
106,H,ORL,0,-200
106,V,BOS,0,120
106,H,MIA,0,-140
106,V,CHO,0,200
106,H,ATL,0,-240
106,V,UTA,0,-320
106,H,NYK,0,260
106,V,OKC,0,270
106,H,NOP,0,-340
106,V,DET,0,550
106,H,MIL,0,-900
106,V,TOR,0,130
106,H,PHO,0,-150
106,V,CHI,0,215
106,H,SAC,0,-260
106,V,LAC,0,-210
106,H,GSW,0,175
107,V,PHI,0,-125
107,H,BRK,0,105
107,V,CLE,0,170
107,H,MEM,0,-200
107,V,MIN,0,375
107,H,POR,0,-550
107,V,DAL,0,120
107,H,DEN,0,-140
107,V,SAS,0,185
107,H,LAL,0,-225
108,V,PHO,0,-330
108,H,DET,0,265
108,V,CHO,0,220
108,H,NOP,0,-270
108,V,WAS,0,160
108,H,BOS,0,-180
108,V,OKC,0,120
108,H,NYK,0,-140
108,V,UTA,0,180
108,H,MIL,0,-220
108,V,ORL,0,215
108,H,HOU,0,-260
108,V,BRK,0,-105
108,H,MEM,0,-115
108,V,TOR,0,-200
108,H,SAC,0,170
108,V,LAC,0,-250
108,H,GSW,0,210
108,V,CHI,0,300
108,H,LAL,0,-400
109,V,DEN,0,-260
109,H,PHI,0,215
109,V,MIA,0,-270
109,H,WAS,0,220
109,V,ATL,0,-210
109,H,CHO,0,175
109,V,PHO,0,135
109,H,IND,0,-155
109,V,SAS,0,-210
109,H,MIN,0,175
109,V,CLE,0,700
109,H,MIL,0,-1100
109,V,ORL,0,190
109,H,DAL,0,-230
109,V,POR,0,-240
109,H,SAC,0,200
110,V,UTA,0,-360
110,H,DET,0,280
110,V,CHI,0,475
