Date,VH,Team,Final,ML
1016,V,PHI,87,170
1016,H,BOS,105,-200
1016,V,OKC,100,711
1016,H,GSW,108,-1100
1017,V,MEM,83,263
1017,H,IND,111,-325
1017,V,MIL,113,-165
1017,H,CHO,112,144
1017,V,MIA,101,-135
1017,H,ORL,104,115
1017,V,BRK,100,211
1017,H,DET,103,-255
1017,V,ATL,107,148
1017,H,NYK,126,-170
1017,V,CLE,104,797
1017,H,TOR,116,-1300
1017,V,NOP,131,278
1017,H,HOU,112,-345
1017,V,MIN,108,125
1017,H,SAS,112,-145
1017,V,UTA,123,-400
1017,H,SAC,117,317
1017,V,DAL,100,-130
1017,H,PHO,121,110
1017,V,DEN,107,-125
1017,H,LAC,98,105
1018,V,CHI,108,733
1018,H,PHI,127,-1150
1018,V,MIA,113,215
1018,H,WAS,112,-260
1018,V,LAL,119,135
1018,H,POR,128,-155
1019,V,CHO,120,-125
1019,H,ORL,88,105
1019,V,NYK,105,148
1019,H,BRK,107,-170
1019,V,SAC,129,664
1019,H,NOP,149,-1000
1019,V,BOS,101,135
1019,H,TOR,113,-155
1019,V,CLE,123,334
1019,H,MIN,131,-425
1019,V,ATL,117,237
1019,H,MEM,131,-290
1019,V,IND,101,144
1019,H,MIL,118,-165
1019,V,GSW,124,-135
1019,H,UTA,123,115
1019,V,OKC,92,130
1019,H,LAC,108,-150
1020,V,TOR,117,110
1020,H,WAS,113,-130
1020,V,BRK,112,303
1020,H,IND,132,-380
1020,V,ORL,115,797
1020,H,PHI,116,-1300
1020,V,BOS,103,-500
1020,H,NYK,101,384
1020,V,CHO,113,135
1020,H,MIA,112,-155
1020,V,DET,118,-200
1020,H,CHI,116,170
1020,V,MIN,136,110
1020,H,DAL,140,-130
1020,V,PHO,91,459
1020,H,DEN,119,-620
1020,V,SAS,108,172
1020,H,POR,121,-205
1020,V,HOU,124,-160
1020,H,LAL,115,140
1021,V,ATL,133,303
1021,H,CLE,111,-380
1021,V,SAC,131,477
1021,H,OKC,120,-650
1021,V,GSW,98,-189
1021,H,DEN,100,163
1021,V,HOU,112,115
1021,H,LAC,115,-135
1022,V,CHO,106,317
1022,H,TOR,127,-400
1022,V,ORL,93,611
1022,H,BOS,90,-894
1022,V,IND,91,110
1022,H,MIN,101,-130
1022,V,NYK,113,614
1022,H,MIL,124,-900
1022,V,CHI,109,170
1022,H,DAL,115,-200
1022,V,MEM,92,506
1022,H,UTA,84,-700
1022,V,WAS,125,160
1022,H,POR,124,-185
1022,V,SAS,143,110
1022,H,LAL,142,-130
1022,V,PHO,103,797
1022,H,GSW,123,-1300
1023,V,PHI,132,-120
1023,H,DET,133,100
1023,V,LAC,109,203
