Profit,Params
1009.1786072613564,"[10, 0.05, 1, 500, 1, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 3, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 3, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 3, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 5, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 5, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 5, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 10, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 10, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 500, 10, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 1, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 1, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 1, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 3, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 3, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 3, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 5, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 5, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 5, 8, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 10, 3, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 10, 5, 0]"
1009.1786072613564,"[10, 0.05, 1, 1000, 10, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 10, 1, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 10, 1, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 10, 1, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 10, 3, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 10, 3, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 10, 3, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 10, 5, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 10, 5, 5, 0]"
622.5852006679501,"[10, 0.05, 3, 10, 5, 8, 0]"
531.2561963389455,"[10, 0.05, 3, 10, 10, 3, 0]"
832.2189003016496,"[10, 0.05, 3, 10, 10, 5, 0]"
