Date,VH,Team,Final,ML
1025,V,NYK,88,355
1025,H,CLE,117,-450
1025,V,UTA,104,195
1025,H,POR,113,-235
1025,V,SAS,129,325
1025,H,GSW,100,-400
1026,V,MIA,108,135
1026,H,ORL,96,-155
1026,V,DAL,121,185
1026,H,IND,130,-215
1026,V,DET,91,210
1026,H,TOR,109,-260
1026,V,BRK,117,601
1026,H,BOS,122,-902
1026,V,MIN,98,-120
1026,H,MEM,102,100
1026,V,CHO,107,-120
1026,H,MIL,96,100
1026,V,OKC,103,-460
1026,H,PHI,97,365
1026,V,DEN,107,105
1026,H,NOP,102,-125
1026,V,SAC,113,130
1026,H,PHO,94,-150
1026,V,HOU,114,-260
1026,H,LAL,120,210
1027,V,WAS,99,155
1027,H,ATL,114,-175
1027,V,BOS,99,-105
1027,H,CHI,105,-115
1027,V,LAC,114,-140
1027,H,POR,106,120
1027,V,SAS,102,-360
1027,H,SAC,94,295
1028,V,CLE,94,-145
1028,H,TOR,91,125
1028,V,ORL,82,160
1028,H,DET,108,-180
1028,V,IND,94,-230
1028,H,BRK,103,190
1028,V,PHO,110,280
1028,H,OKC,113,-345
1028,V,CHO,97,-120
1028,H,MIA,91,100
1028,V,HOU,106,-130
1028,H,DAL,98,110
1028,V,LAL,89,370
1028,H,UTA,96,-465
1028,V,GSW,122,-1000
1028,H,NOP,114,700
1029,V,ATL,104,-370
1029,H,PHI,72,285
1029,V,BOS,104,-145
1029,H,CHO,98,125
1029,V,ORL,99,500
1029,H,CLE,105,-800
1029,V,MEM,104,135
1029,H,NYK,111,-155
1029,V,BRK,108,280
1029,H,MIL,110,-360
1029,V,IND,101,145
1029,H,CHI,118,-165
1029,V,NOP,79,900
1029,H,SAS,98,-1900
1029,V,POR,115,-125
1029,H,DEN,113,105
1029,V,MIN,103,-110
1029,H,SAC,106,-110
1030,V,UTA,75,295
1030,H,LAC,88,-360
1030,V,GSW,106,-791
1030,H,PHO,100,570
1030,V,MIL,83,250
1030,H,DET,98,-315
1030,V,SAS,106,-290
1030,H,MIA,99,230
1030,V,LAL,96,355
1030,H,OKC,113,-450
1030,V,WAS,103,-160
1030,H,MEM,112,140
1030,V,DAL,92,200
1030,H,HOU,93,-240
1031,V,DEN,102,230
1031,H,TOR,105,-290
1031,V,CHI,118,-245
1031,H,BRK,88,205
1031,V,SAC,95,250
1031,H,ATL,106,-310
1031,V,PHO,98,750
1031,H,LAC,116,-1150
1101,V,HOU,120,420
1101,H,CLE,128,-540
1101,V,LAL,108,355
1101,H,IND,115,-450
1101,V,ORL,103,-202
1101,H,PHI,101,172
1101,V,NYK,89,150
1101,H,DET,102,-170
1101,V,SAC,96,145
1101,H,MIA,108,-165
1101,V,MEM,80,285
1101,H,MIN,116,-350
1101,V,MIL,117,145
1101,H,NOP,113,-165
1101,V,UTA,106,435
1101,H,SAS,91,-575
1101,V,GSW,127,-240
1101,H,POR,104,200
1102,V,TOR,113,105
1102,H,WAS,103,-125
1102,V,PHI,93,850
1102,H,CHO,109,-1350
1102,V,HOU,118,-105
1102,H,NYK,99,-115
1102,V,LAL,123,750
1102,H,ATL,116,-1150
1102,V,DET,101,-170
1102,H,BRK,109,150
1102,V,NOP,83,175
1102,H,MEM,89,-205
1102,V,CHI,100,144
1102,H,BOS,107,-164
1102,V,DAL,81,140
1102,H,UTA,97,-160
1102,V,POR,115,-150
1102,H,PHO,118,130
1102,V,OKC,85,240
1102,H,LAC,83,-300
1103,V,SAC,94,-120
1103,H,ORL,102,100
1103,V,BOS,122,450
1103,H,CLE,128,-700
1103,V,DEN,102,145
1103,H,MIN,99,-165
1103,V,IND,107,-145
1103,H,MIL,125,125
1103,V,OKC,96,525
1103,H,GSW,122,-850
1104,V,ATL,92,100
1104,H,WAS,95,-120
1104,V,CHO,99,-275
1104,H,BRK,95,225
1104,V,MIA,87,240
1104,H,TOR,96,-300
1104,V,NYK,117,255
1104,H,CHI,104,-320
1104,V,PHO,112,125
1104,H,NOP,111,-145
1104,V,LAC,99,-235
1104,H,MEM,88,195
1104,V,POR,105,-135
1104,H,DAL,95,115
1104,V,SAS,100,-165
1104,H,UTA,86,145
1104,V,GSW,97,-900
1104,H,LAL,117,600
1105,V,MIN,92,170
1105,H,OKC,112,-200
1105,V,DEN,86,170
1105,H,DET,103,-200
1105,V,CLE,102,-1000
1105,H,PHI,101,700
1105,V,WAS,86,220
1105,H,ORL,88,-270
1105,V,CHI,94,145
1105,H,IND,111,-165
1105,V,HOU,97,135
