Date,Name,Team
2018-10-04,Omer Asik,Bulls
2018-10-05,Omer Asik,Bulls
2018-10-06,Omer Asik,Bulls
2018-10-07,Omer Asik,Bulls
2018-10-08,Omer Asik,Bulls
2018-10-09,Omer Asik,Bulls
2018-10-10,Omer Asik,Bulls
2018-10-11,Omer Asik,Bulls
2018-10-12,Omer Asik,Bulls
2018-10-12,Derrick White,Spurs
2018-10-13,Omer Asik,Bulls
2018-10-13,Derrick White,Spurs
2018-10-14,Omer Asik,Bulls
2018-10-14,Derrick White,Spurs
2018-10-14,Harrison Barnes,Mavericks
2018-10-15,Omer Asik,Bulls
2018-10-15,Derrick White,Spurs
2018-10-15,Harrison Barnes,Mavericks
2018-10-16,Omer Asik,Bulls
2018-10-16,Derrick White,Spurs
2018-10-16,Harrison Barnes,Mavericks
2018-10-16,Jerryd Bayless,76ers
2018-10-16,Mike Muscala,76ers
2018-10-16,Wilson Chandler,76ers
2018-10-16,Zhaire Smith,76ers
2018-10-16,Robert Williams III,Celtics
2018-10-16,Dewayne Dedmon,Hawks
2018-10-16,Justin Anderson,Hawks
2018-10-16,Emmanuel Mudiay,Knicks
2018-10-16,Allen Crabbe,Nets
2018-10-16,DeMarre Carroll,Nets
2018-10-16,Isaiah Thomas,Nuggets
2018-10-16,Jarred Vanderbilt,Nuggets
2018-10-16,Marquese Chriss,Rockets
2018-10-16,Nene Hilario ,Rockets
2018-10-16,Russell Westbrook,Thunder
2018-10-16,Damion Lee,Warriors
2018-10-16,DeMarcus Cousins,Warriors
2018-10-17,Omer Asik,Bulls
2018-10-17,Derrick White,Spurs
2018-10-17,Harrison Barnes,Mavericks
2018-10-17,Jerryd Bayless,76ers
2018-10-17,Mike Muscala,76ers
2018-10-17,Wilson Chandler,76ers
2018-10-17,Zhaire Smith,76ers
2018-10-17,Robert Williams III,Celtics
2018-10-17,Dewayne Dedmon,Hawks
2018-10-17,Justin Anderson,Hawks
2018-10-17,Emmanuel Mudiay,Knicks
2018-10-17,Allen Crabbe,Nets
2018-10-17,DeMarre Carroll,Nets
2018-10-17,Isaiah Thomas,Nuggets
2018-10-17,Jarred Vanderbilt,Nuggets
2018-10-17,Marquese Chriss,Rockets
2018-10-17,Nene Hilario ,Rockets
2018-10-17,Russell Westbrook,Thunder
2018-10-17,Damion Lee,Warriors
2018-10-17,DeMarcus Cousins,Warriors
2018-10-17,D.J. Wilson,Bucks
2018-10-17,Trevon Duval,Bucks
2018-10-17,J.R. Smith,Cavaliers
2018-10-17,Larry Nance Jr.,Cavaliers
2018-10-17,Yuta Watanabe,Grizzlies
2018-10-17,Daniel Hamilton,Hawks
2018-10-17,John Collins ,Hawks
2018-10-17,Dion Waiters,Heat
2018-10-17,James Johnson,Heat
2018-10-17,Justise Winslow,Heat
2018-10-17,Wayne Ellington,Heat
2018-10-17,Devonte' Graham,Hornets
2018-10-17,Raul Neto,Jazz
2018-10-17,Bogdan Bogdanovic,Kings
2018-10-17,Kosta Koufos,Kings
2018-10-17,Courtney Lee,Knicks
2018-10-17,Isaiah Hicks,Knicks
2018-10-17,Kristaps Porzingis,Knicks
2018-10-17,Luke Kornet,Knicks
2018-10-17,Melvin Frazier Jr.,Magic
2018-10-17,Dirk Nowitzki,Mavericks
2018-10-17,Kostas Antetokounmpo,Mavericks
2018-10-17,Alan Williams,Nets
2018-10-17,Rondae Hollis-Jefferson,Nets
2018-10-17,Shabazz Napier,Nets
2018-10-17,Michael Porter Jr.,Nuggets
2018-10-17,Alize Johnson,Pacers
2018-10-17,Reggie Bullock,Pistons
2018-10-17,Stanley Johnson,Pistons
2018-10-17,Chris Boucher,Raptors
2018-10-17,Delon Wright,Raptors
2018-10-17,Brandon Knight,Rockets
2018-10-17,Qi Zhou,Rockets
2018-10-17,Dejounte Murray,Spurs
2018-10-17,Lonnie Walker IV,Spurs
2018-10-17,De'Anthony Melton,Suns
2018-10-17,Justin Patton,Timberwolves
2018-10-18,Omer Asik,Bulls
2018-10-18,Derrick White,Spurs
2018-10-18,Harrison Barnes,Mavericks
2018-10-18,Jerryd Bayless,76ers
2018-10-18,Mike Muscala,76ers
2018-10-18,Wilson Chandler,76ers
2018-10-18,Zhaire Smith,76ers
2018-10-18,Robert Williams III,Celtics
2018-10-18,Dewayne Dedmon,Hawks
2018-10-18,Justin Anderson,Hawks
2018-10-18,Emmanuel Mudiay,Knicks
2018-10-18,Allen Crabbe,Nets
2018-10-18,DeMarre Carroll,Nets
2018-10-18,Isaiah Thomas,Nuggets
2018-10-18,Jarred Vanderbilt,Nuggets
2018-10-18,Marquese Chriss,Rockets
2018-10-18,Nene Hilario ,Rockets
2018-10-18,Russell Westbrook,Thunder
2018-10-18,Damion Lee,Warriors
2018-10-18,DeMarcus Cousins,Warriors
2018-10-18,D.J. Wilson,Bucks
2018-10-18,Trevon Duval,Bucks
2018-10-18,J.R. Smith,Cavaliers
2018-10-18,Larry Nance Jr.,Cavaliers
2018-10-18,Yuta Watanabe,Grizzlies
2018-10-18,Daniel Hamilton,Hawks
2018-10-18,John Collins ,Hawks
2018-10-18,Dion Waiters,Heat
2018-10-18,James Johnson,Heat
2018-10-18,Justise Winslow,Heat
2018-10-18,Wayne Ellington,Heat
2018-10-18,Devonte' Graham,Hornets
2018-10-18,Raul Neto,Jazz
2018-10-18,Bogdan Bogdanovic,Kings
2018-10-18,Kosta Koufos,Kings
2018-10-18,Courtney Lee,Knicks
2018-10-18,Isaiah Hicks,Knicks
2018-10-18,Kristaps Porzingis,Knicks
2018-10-18,Luke Kornet,Knicks
2018-10-18,Melvin Frazier Jr.,Magic
2018-10-18,Dirk Nowitzki,Mavericks
2018-10-18,Kostas Antetokounmpo,Mavericks
2018-10-18,Alan Williams,Nets
2018-10-18,Rondae Hollis-Jefferson,Nets
2018-10-18,Shabazz Napier,Nets
2018-10-18,Michael Porter Jr.,Nuggets
2018-10-18,Alize Johnson,Pacers
2018-10-18,Reggie Bullock,Pistons
2018-10-18,Stanley Johnson,Pistons
2018-10-18,Chris Boucher,Raptors
2018-10-18,Delon Wright,Raptors
2018-10-18,Brandon Knight,Rockets
2018-10-18,Qi Zhou,Rockets
2018-10-18,Dejounte Murray,Spurs
2018-10-18,Lonnie Walker IV,Spurs
2018-10-18,De'Anthony Melton,Suns
2018-10-18,Justin Patton,Timberwolves
2018-10-18,Gary Trent Jr.,Blazers
2018-10-18,Cristiano Felicio,Bulls
2018-10-18,Denzel Valentine,Bulls
2018-10-18,Lauri Markkanen,Bulls
2018-10-18,Alex Caruso,Lakers
2018-10-18,Moe Wagner,Lakers
2018-10-18,T.J. Leaf,Pacers
2018-10-18,Dwight Howard,Wizards
2018-10-19,Omer Asik,Bulls
2018-10-19,Derrick White,Spurs
2018-10-19,Harrison Barnes,Mavericks
